Database Name	1400L19201
Database Link	http://10.25.11.3/ODA/OdaService.asmx
Evaluation Signature	2928ff34-54a8-455d-ab66-f07f402d310a
Plate Name	EP209
Measurement	Measurement 4
Evaluation	Evaluation2
Population	Population - Nuclei

[Data]
Row	Column	Plane	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Time post-release	AB1-1	AB1-2	AB2-1	AB2-2	Nuclei - Intensity Nucleus dsRed Mean	Nuclei - Intensity Nucleus dsRed StdDev	Nuclei - Intensity Nucleus EGFP Mean	Nuclei - Intensity Nucleus EGFP StdDev	Nuclei - Intensity Cytoplasm Region dsRed Mean	Nuclei - Intensity Cytoplasm Region dsRed StdDev	Nuclei - Intensity Cytoplasm Region EGFP Mean	Nuclei - Intensity Cytoplasm Region EGFP StdDev	
3	3	1	0	6	26	57	1629	[1,1573,115,1689]	500.3	1213.53	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	111.485	6.20285	847.619	118.271	112.594	8.07359	830.633	368.284	
3	3	1	0	6	27	136	1683	[84,1633,195,1734]	512.64	1205.92	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	111.877	5.91237	1190.52	197.584	113.034	7.54457	914.441	490.704	
3	3	1	0	6	28	46	1845	[1,1800,92,1901]	499	1182.3	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	111.031	6.15859	815.999	104.407	146.353	130.183	760.165	465.192	
3	3	1	0	6	29	657	2096	[521,2038,720,2158]	583.2	1145.69	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	118.207	6.39354	1085.47	147.364	122.984	35.8496	958.811	500.172	
3	3	1	0	8	1	82	68	[1,1,134,129]	179.49	1113.27	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	113.403	6.66967	684.582	95.1721	110.134	11.2524	478.67	208.124	
3	3	1	0	8	2	2076	289	[1968,242,2126,335]	460.61	1080.95	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	116.26	7.30677	992.454	233.957	125.909	110.256	564.469	339.55	
3	3	1	0	8	3	1231	473	[1161,391,1291,585]	343.11	1052.68	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	136.849	10.9858	837.855	186.231	133.266	102.239	458.892	234.334	
3	3	1	0	8	4	2124	490	[2089,425,2158,547]	471.77	1052.49	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	126.263	35.5726	1011.4	331.95	175.886	278.81	524.106	363.08	
3	3	1	0	8	5	895	535	[850,487,944,582]	297.03	1046	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	125.867	6.75354	1008.93	142.811	135.294	78.9215	550.169	293.205	
3	3	1	0	8	6	1558	629	[1513,584,1608,675]	391.07	1032.45	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	123.103	5.90974	1076.29	187.74	123.607	27.4734	693.542	498.788	
3	3	1	0	8	7	2003	679	[1937,622,2058,733]	453.84	1025.43	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	131.756	12.5148	660.82	137.616	114.404	10.6633	328.259	196.662	
3	3	1	0	8	8	1412	835	[1359,782,1478,888]	370.57	1003.53	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	135.905	27.0122	1209.33	262.417	160.812	217.593	886.816	535.545	
3	3	1	0	8	9	986	872	[919,813,1020,1004]	307.5	994.13	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	135.255	55.3265	351.838	218.396	132.358	49.8596	326.485	416.087	
3	3	1	0	8	10	472	1127	[425,1080,520,1178]	236.96	961.76	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	117.174	5.65101	1047.82	159.242	118.593	7.63406	877.492	494.91	
3	3	1	0	8	11	2108	1126	[2059,1077,2158,1186]	469.37	961.72	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	122.576	6.70359	854.117	116.32	118.458	12.6191	605.588	288.251	
3	3	1	0	8	12	2133	1306	[2107,1258,2158,1370]	472.97	935.88	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	160.43	252.466	601.676	624.438	211.379	332.329	308.622	378.964	
3	3	1	0	8	13	526	1329	[480,1283,585,1376]	244.94	933.38	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	123.925	6.67735	973.185	127.843	125.329	20.3267	675.784	411.306	
3	3	1	0	8	14	2047	1504	[1998,1456,2096,1552]	460.16	908.6	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	119.279	5.55883	796.446	112.714	116.111	6.7125	529.302	298.801	
3	3	1	0	8	15	766	1516	[706,1463,821,1574]	278.55	906.69	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	125.134	6.97136	877.906	127.213	194.411	284.66	731.255	505.328	
3	3	1	0	8	16	1558	1513	[1511,1465,1606,1565]	390.8	906.68	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	125.021	6.04826	1143.86	183.284	155.632	213.336	908.999	545.605	
3	3	1	0	8	17	1153	1991	[1090,1908,1204,2081]	332.48	839.05	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	131.778	8.04127	784.853	137.56	179.731	247.068	719.496	527.772	
3	3	1	0	8	18	899	2110	[854,2064,946,2156]	297.51	822.43	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	118.238	5.85915	193.563	42.1816	131.254	64.4953	277.28	108.027	
3	3	1	0	3	1	961	29	[915,1,1008,57]	-339.31	1441.36	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	118.368	6.01136	550.706	59.5473	140.132	101.46	352.971	147.97	
3	3	1	0	3	2	655	38	[589,1,705,85]	-383.84	1439.27	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	116.781	9.35237	402.698	100.534	125.641	67.4239	348.994	242.567	
3	3	1	0	3	3	771	49	[715,1,828,99]	-366.48	1438.17	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	130.666	74.8423	647.927	111.702	132.348	112.417	572.482	527.15	
3	3	1	0	3	4	45	58	[1,7,89,118]	-470.45	1436.33	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	108.841	5.5679	532.689	79.1372	114.003	29.1647	311.322	192.705	
3	3	1	0	3	5	2043	60	[1992,8,2089,110]	-186.37	1436.31	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	114.15	5.76908	376.425	91.9127	118.814	34.3309	287.776	249.578	
3	3	1	0	3	6	1048	149	[994,96,1115,203]	-327.08	1423.4	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	123.861	14.2232	860.49	116.742	130.62	43.761	569.7	354.094	
3	3	1	0	3	7	1914	159	[1880,127,1946,206]	-204.56	1421.18	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	118.191	22.8741	381.557	125.962	114.573	19.3112	209.351	142.752	
3	3	1	0	3	8	784	179	[730,127,838,232]	-364.59	1419.18	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	121.339	7.64897	738.604	105.613	118.088	7.8987	429.324	212.025	
3	3	1	0	3	9	1697	177	[1642,119,1756,230]	-234.67	1419.76	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	123.215	13.3371	825.749	113.262	123.035	28.3347	496.484	377.551	
3	3	1	0	3	10	31	204	[1,153,63,255]	-472.42	1416.21	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	110.383	5.81455	668.244	178.498	108.158	9.58005	446.322	215.197	
3	3	1	0	3	11	496	201	[441,161,544,255]	-405.86	1415.39	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	119.438	12.3979	1131.44	201.1	116.379	19.2997	521.667	326.912	
3	3	1	0	3	12	1408	255	[1362,203,1460,310]	-275.68	1408.17	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	124.832	6.25468	581.042	117.909	133.934	51.0421	378.712	298.285	
3	3	1	0	3	13	1911	339	[1862,289,1971,388]	-204.57	1396.91	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	115.662	5.65054	722.841	141.042	159.687	217.303	515.745	407.903	
3	3	1	0	3	14	1361	347	[1309,298,1416,396]	-282.56	1395.52	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	124.587	5.66494	926.668	107.568	125.374	23.8204	570.357	317.947	
3	3	1	0	3	15	1071	429	[1015,379,1129,486]	-323.64	1383.9	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	130.382	22.9744	1096.16	300.153	141.436	42.775	997.754	616.624	
3	3	1	0	3	16	694	485	[646,430,745,532]	-377.68	1376.21	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	128.289	70.8882	635.797	192.157	127.947	23.3257	498.146	325.392	
3	3	1	0	3	17	789	510	[733,446,916,563]	-361.48	1373.52	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	135.544	69.7266	1199.45	260.675	127.702	22.4002	897.529	546.763	
3	3	1	0	3	18	1707	540	[1660,496,1750,588]	-233.91	1367.72	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	125.345	39.5787	313.683	181.195	120.676	20.7003	155.975	84.766	
3	3	1	0	3	19	1188	553	[1141,515,1229,594]	-307.73	1365.73	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	154.284	64.2782	1050.16	448.604	137.798	32.1174	701.785	760.642	
3	3	1	0	3	20	855	590	[810,547,897,632]	-354.79	1361.41	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	119.921	5.31627	1299.16	227.363	121.492	8.61247	812.848	398.784	
3	3	1	0	3	21	174	592	[98,520,222,649]	-451.93	1360.93	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	114.973	5.87178	724.618	115.641	117.277	69.3318	490.299	332.033	
3	3	1	0	3	22	1364	610	[1316,560,1416,663]	-282.63	1358.31	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	127.176	5.87589	719.368	104.605	121.336	5.31343	471.21	239.107	
