Database Name	1400L19201
Database Link	http://10.25.11.3/ODA/OdaService.asmx
Evaluation Signature	2928ff34-54a8-455d-ab66-f07f402d310a
Plate Name	EP209
Measurement	Measurement 4
Evaluation	Evaluation2
Population	Population - Nuclei

[Data]
Row	Column	Plane	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Time post-release	AB1-1	AB1-2	AB2-1	AB2-2	Nuclei - Intensity Nucleus dsRed Mean	Nuclei - Intensity Nucleus dsRed StdDev	Nuclei - Intensity Nucleus EGFP Mean	Nuclei - Intensity Nucleus EGFP StdDev	Nuclei - Intensity Cytoplasm Region dsRed Mean	Nuclei - Intensity Cytoplasm Region dsRed StdDev	Nuclei - Intensity Cytoplasm Region EGFP Mean	Nuclei - Intensity Cytoplasm Region EGFP StdDev	
3	4	1	0	8	30	453	1053	[395,946,556,1123]	237.07	975.25	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	114.882	5.55703	645.888	89.2191	146.923	118.055	711.21	535.602	
3	4	1	0	8	31	901	1081	[847,1025,956,1139]	297.61	968.27	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	122.493	6.38124	602.616	84.8449	120.575	9.17382	460.798	256.584	
3	4	1	0	8	32	418	1156	[359,1102,473,1210]	228.97	957.67	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	115.287	5.45151	645.698	106.691	118.588	12.2525	580.821	290.861	
3	4	1	0	8	33	240	1199	[185,1146,296,1254]	203.65	951.68	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	110.762	5.66216	728.153	113.913	111.179	21.1472	419.805	325.786	
3	4	1	0	8	34	495	1229	[446,1178,546,1303]	239.66	946.84	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	117.101	5.58238	813.206	109.186	271.993	648.072	671.714	887.91	
3	4	1	0	8	35	1918	1323	[1816,1156,1969,1379]	438.43	940.3	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	119.833	8.52699	984.95	118.21	134.729	79.6629	597.725	627.782	
3	4	1	0	8	36	440	1486	[395,1446,475,1534]	231.27	910.86	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	116.076	5.70051	558.753	75.5743	117.95	7.58822	620.573	84.9767	
3	4	1	0	8	37	293	1525	[240,1473,347,1579]	211.24	905.6	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	113.665	5.92907	682.877	105.334	133.65	179.924	423.383	292.848	
3	4	1	0	8	38	417	1636	[364,1583,563,1727]	233.46	888.85	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	114.518	6.56177	883.896	133.014	137.616	172.812	514.303	619.137	
3	4	1	0	8	39	608	1635	[557,1584,662,1687]	256.48	889.96	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	117.084	5.90275	682.636	124.489	124.123	28.4949	576.44	294.934	
3	4	1	0	8	40	1693	1627	[1614,1553,1827,1658]	413.9	893.01	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	191.21	172.106	219.145	111.056	269.518	600.642	381.987	820.775	
3	4	1	0	8	41	963	1660	[915,1619,1002,1711]	305.99	886.21	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	147.993	38.3725	339.057	72.7836	264.555	429.853	382.797	519.625	
3	4	1	0	8	42	1106	1677	[1011,1626,1158,1761]	323.91	881.73	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	122.651	5.98394	638.516	106.88	126.252	26.9091	486.181	312.039	
3	4	1	0	8	43	719	1690	[665,1635,775,1748]	271.92	881.83	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	120.754	7.78269	781.032	100.069	123.716	16.0619	563.358	265.329	
3	4	1	0	8	44	304	1759	[238,1706,361,1826]	213.09	872.07	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	111.353	6.1379	720.386	158.827	115.306	17.5788	585.73	394.126	
3	4	1	0	8	45	642	1760	[557,1704,697,1817]	260.09	871.38	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	117.848	6.75021	797.768	145.021	247.546	479.499	685.188	661.017	
3	4	1	0	8	46	2048	1812	[1985,1756,2104,1881]	460.33	864.76	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	118.168	10.4104	785.74	129.587	177.982	223.511	624.422	585.323	
3	4	1	0	8	47	345	1861	[290,1799,400,1921]	218.84	857.62	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	112.447	5.6921	833.285	197.839	143.983	76.5044	523.372	329.635	
3	4	1	0	8	48	1952	1859	[1874,1802,2007,1919]	446.78	857.79	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	115.481	5.3151	833.233	156.425	147.399	117.325	536.858	420.711	
3	4	1	0	8	49	1499	1876	[1450,1828,1551,1930]	382.6	855.33	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	132.685	56.8571	703.341	139.049	173.897	263.449	514.756	816.23	
3	4	1	0	8	50	265	1937	[220,1893,309,1982]	207.37	847.02	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	111.233	6.58838	929.223	167.511	112.015	7.38597	679.698	369.235	
3	4	1	0	8	51	139	2049	[87,1999,192,2102]	189.6	830.78	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	109.684	6.36558	677.328	114.58	119.41	34.9106	644.926	368	
3	4	1	0	8	52	1154	2079	[1098,2022,1211,2137]	333.45	826.92	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	120.192	5.60962	694.758	99.0572	120.28	13.0288	496.093	345.746	
3	4	1	0	1	1	62	32	[22,1,122,64]	-142.83	1117.97	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	109.956	13.5426	595.199	92.4623	109.518	16.7199	397.401	148.92	
3	4	1	0	1	2	1095	29	[1036,1,1133,58]	0.89	1118.61	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	121.473	34.3688	663.782	161.626	151.82	230.825	630.846	685.077	
3	4	1	0	1	3	1604	83	[1558,40,1669,132]	75.4	1109.98	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	128.051	34.3315	227.355	95.265	118.994	12.3778	141.433	32.9249	
3	4	1	0	1	4	896	92	[844,37,951,147]	-25.82	1108.9	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	126.291	36.2774	867.007	303.497	125.912	34.8824	732.637	479.997	
3	4	1	0	1	5	121	95	[57,48,169,145]	-136.09	1107.92	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	112.513	36.8775	533.573	66.8563	121.28	97.9389	344.968	125.324	
3	4	1	0	1	6	376	106	[329,57,428,156]	-99.5	1106.88	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	110.805	4.77951	435.702	93.0129	110.016	4.85667	282.014	97.8656	
3	4	1	0	1	7	240	114	[187,77,283,165]	-119.49	1105.19	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	111.163	6.38702	492.764	147.224	109.514	7.13431	227.644	195.58	
3	4	1	0	1	8	582	181	[540,146,618,220]	-70.81	1095.64	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	192.178	40.9911	533.783	192.829	119.855	7.46836	181.999	52.5366	
3	4	1	0	1	9	662	182	[623,149,717,222]	-59.02	1096.08	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	239.333	47.5788	817.671	226.305	175.475	191.153	285.773	202.306	
3	4	1	0	1	10	126	209	[52,125,178,254]	-137.34	1094.55	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	115.869	21.4153	492.083	290.735	128.267	69.0604	500.781	347.791	
3	4	1	0	1	11	308	201	[249,138,367,263]	-109.46	1092.9	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	113.306	5.8941	749.005	121.963	111.639	6.60539	491.947	393.872	
3	4	1	0	1	12	551	259	[504,212,600,306]	-75.04	1085.06	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	120.004	6.66655	679.465	158.083	123.229	11.6231	597.897	282.096	
3	4	1	0	1	13	1985	385	[1923,323,2048,445]	128.24	1067.24	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	124.719	38.209	252.135	80.2491	123.841	68.6897	159.058	72.7671	
3	4	1	0	1	14	2005	479	[1937,418,2064,529]	130.99	1054.59	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	109.799	3.88384	174.019	14.4535	109.263	4.32166	141.441	15.9585	
3	4	1	0	1	15	905	572	[858,524,954,631]	-24.65	1040.37	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	121.63	5.1936	849.002	97.5052	119.998	7.11221	574.354	164.733	
3	4	1	0	1	16	1486	629	[1428,580,1536,680]	57.45	1032.85	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	130.065	64.9844	588.385	274.893	158.21	73.4885	494.079	697.065	
3	4	1	0	1	17	996	681	[904,619,1051,731]	-13.13	1026.32	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	121.554	6.09133	915.408	213.791	135.662	65.921	566.083	303.449	
3	4	1	0	1	18	1417	705	[1364,650,1470,761]	47.98	1021.56	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	123.23	5.69667	1005.5	211.598	148.137	120.418	801.33	961.536	
3	4	1	0	1	19	828	748	[775,693,883,808]	-35.59	1015.53	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	120.771	7.98002	750.026	130.808	122.836	40.8373	486.361	254.368	
3	4	1	0	1	20	1530	737	[1473,689,1587,785]	63.77	1017.3	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	120.719	5.53533	591.621	74.5038	124.417	25.9579	375.517	132.718	
3	4	1	0	1	21	1687	761	[1634,715,1756,816]	87.4	1013.23	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	123.16	10.2259	801.471	321.799	134.136	82.2331	384.584	1079.06	
3	4	1	0	1	22	742	817	[692,770,800,866]	-47.02	1005.9	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	121.402	7.34282	657.995	89.7418	118.48	5.87499	455.133	158.15	
3	4	1	0	1	23	1572	838	[1518,766,1648,890]	71.52	1003.64	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	123.023	19.4214	257.32	109.262	135.489	76.7726	216.039	306.298	
3	4	1	0	1	24	1423	831	[1363,771,1486,889]	49.2	1004.11	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	123.143	9.4266	753.564	119.019	124.008	15.1545	537.376	210.821	
3	4	1	0	1	25	645	859	[589,807,725,936]	-60.67	998.82	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	117.904	5.49102	849.024	132.85	196.868	408.125	686.777	1138.12	
3	4	1	0	1	26	1320	862	[1262,814,1368,910]	33.76	999.46	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	124.52	11.7992	638.773	114.218	130.169	29.8861	425.256	166.486	
3	4	1	0	1	27	2078	967	[2034,856,2158,1007]	144.81	989.7	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	153.059	297.831	693.176	516.916	145.966	145.699	705.653	620.28	
3	4	1	0	1	28	92	907	[43,874,138,986]	-139.61	991.08	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	223.586	376.527	266.948	140.734	305.737	533.632	764.347	1110.68	
3	4	1	0	1	29	1170	920	[1109,865,1250,976]	14	991.31	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	132.03	34.2791	713.482	138.574	244.304	746.609	587.847	534.831	
3	4	1	0	1	30	1475	918	[1424,870,1579,969]	57.88	990.63	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	125.206	13.0028	630.214	85.1853	194.695	502.731	582.052	508.771	
3	4	1	0	1	31	1784	952	[1755,904,1815,996]	100	986.37	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	155.326	69.3506	366.833	362.968	177.188	198.22	227.869	334.635	
3	4	1	0	1	32	1485	1122	[1435,1074,1533,1172]	57.4	962.75	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	126.508	7.84059	931.535	124.06	140.148	120.654	625.596	498.097	
3	4	1	0	1	33	700	1121	[648,1074,759,1170]	-54.12	962.5	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	121.833	6.66867	491.65	74.7846	144.155	98.3233	426.697	111.188	
3	4	1	0	1	34	782	1174	[736,1121,842,1221]	-41.72	955.27	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	120.627	5.61991	551.732	96.8886	201.913	307.128	562.621	639.212	
3	4	1	0	1	35	343	1239	[276,1190,402,1293]	-104.43	945.36	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	112.672	5.57477	728.475	110.346	114.526	9.43582	639.943	480.479	
3	4	1	0	1	36	2138	1514	[2118,1456,2158,1555]	150.77	906.84	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	131.957	26.1438	217.205	59.5046	131.841	74.5289	183.334	89.6911	
3	4	1	0	1	37	2135	1586	[2111,1552,2158,1648]	150.29	895.34	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	136.724	44.4073	237.807	91.1837	171.187	209.236	233.288	272.267	
3	4	1	0	1	38	928	1613	[874,1561,984,1675]	-21.23	892.04	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	131.643	9.82989	569.734	120.217	124.226	16.6484	321.323	134.47	
3	4	1	0	1	39	1028	1624	[979,1573,1079,1680]	-7.04	891.25	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	129.739	15.6789	753.422	140.628	155.553	141.303	799.783	617.505	
3	4	1	0	1	40	840	1638	[794,1587,882,1681]	-34.07	889.35	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	124.251	25.9218	494.95	56.133	159.076	233.076	426.746	207.997	
3	4	1	0	1	41	1441	1678	[1403,1633,1500,1723]	52.22	884.48	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	163.381	170.732	348.577	164.797	168.516	148.825	186.494	95.378	
3	4	1	0	1	42	1492	1704	[1457,1669,1540,1751]	59.47	879.29	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	181.162	84.8105	353.137	170.027	228.207	242.423	604.794	1093.24	
3	4	1	0	1	43	1648	1789	[1558,1732,1706,1847]	79.66	867.91	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	121.175	6.10845	929.055	169.818	170.874	343.308	760.003	524.043	
3	4	1	0	1	44	1752	1827	[1699,1775,1813,1887]	95.58	862.43	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	119.065	5.59502	735.344	130.045	121.006	7.54095	570.214	262.727	
3	4	1	0	1	45	1834	1928	[1761,1869,1897,1987]	106.79	848.46	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	118.489	6.28774	1023.15	182.679	119.717	20.9601	765.15	433.27	
3	4	1	0	1	46	1951	1922	[1898,1871,2000,1975]	123.57	849.13	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	117.005	7.08584	888.565	161.175	116.785	11.3393	588.777	332.393	
3	4	1	0	1	47	1374	1950	[1309,1894,1430,2003]	41.55	845.06	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	123.44	6.44038	829.453	117.57	224.508	503.369	811.812	1101.66	
3	4	1	0	1	48	785	1979	[720,1926,842,2039]	-42.18	840.68	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	122.308	9.66566	839.602	154.197	153.786	109.343	559.591	435.426	
3	4	1	0	1	49	1933	2023	[1871,1969,1988,2078]	120.77	834.83	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	116.364	8.72266	1068.16	804.072	132.633	75.572	648.448	348.468	
3	4	1	0	1	50	1444	2032	[1392,1977,1497,2096]	52.01	833.27	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	120.87	7.0011	863.534	127.431	138.859	74.0051	558.378	271.621	
3	4	1	0	1	51	479	2049	[426,1994,544,2102]	-84.82	831.07	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	119.177	7.73725	800.741	113.715	118.992	15.5423	560.926	252.512	
3	4	1	0	1	52	685	2046	[617,1975,737,2103]	-56.43	831.91	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	118.783	6.24438	715.017	97.0533	119.389	12.1893	583.371	247.264	
3	4	1	0	1	53	2070	2082	[2011,2020,2128,2140]	140.38	826.92	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	112.975	6.1985	815.822	104.444	112.759	10.8759	502.451	255.731	
3	4	1	0	1	54	181	2082	[109,2012,249,2154]	-127.45	825.48	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	115.411	8.3104	984.712	260.225	185.504	287.659	1039.19	921.97	
3	4	1	0	1	55	67	2084	[1,2028,107,2122]	-146.01	826.78	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	114.267	7.54076	214.481	50.4489	116.456	24.418	191.284	171.656	
3	4	1	0	1	56	1869	2090	[1829,2045,1927,2153]	113.51	824.5	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	113.875	5.315	476.404	104.333	126.123	30.9155	471.822	200.674	
3	4	1	0	1	57	1970	2113	[1921,2067,2025,2158]	126.72	821.67	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	113.913	5.88022	612.966	94.3393	113.062	6.01447	438.067	150.556	
3	4	1	0	1	58	23	2136	[1,2105,87,2158]	-147.78	818.62	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	106.518	5.04054	155.534	51.4289	106.462	5.03391	140.975	29.865	
3	4	1	0	1	59	588	1992	[538,1930,679,2058]	-68	839.01	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	119.563	18.2344	630.252	183.11	117.628	10.6729	273.145	214.156	
3	4	1	0	9	1	1119	31	[1080,1,1178,62]	-315.85	1117.97	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	117.976	5.43742	674.705	97.4446	116.207	5.01791	407.27	156.632	
3	4	1	0	9	2	1163	147	[1104,101,1218,193]	-310.43	1100.91	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	118.975	5.50456	771.877	91.4947	127.367	28.2613	431.88	152.296	
3	4	1	0	9	3	1396	210	[1334,148,1460,278]	-277.91	1091.69	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	125.04	8.98718	859.12	142.79	121.408	11.823	316.615	159.61	
3	4	1	0	9	4	519	282	[465,226,574,342]	-402.59	1081.35	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	122.517	12.4496	1431.99	343.762	128.18	25.9604	842.548	617.773	
3	4	1	0	9	5	2003	362	[1966,318,2041,414]	-191.95	1069.39	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	112.925	4.71141	362.545	48.5056	111.129	6.14567	303.522	144.93	
3	4	1	0	9	6	1661	382	[1573,335,1733,488]	-242.52	1064.15	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	119.221	5.98056	614.019	79.0967	123.615	22.3524	720.322	480.903	
3	4	1	0	9	7	214	412	[169,368,267,458]	-445.25	1063.28	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	113.075	9.07766	727.85	79.2352	185.898	473.389	579.606	718.821	
3	4	1	0	9	8	992	531	[929,484,1049,580]	-335.12	1046.75	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	121.779	5.44095	808.018	133.823	154.357	256.598	518.16	293.523	
3	4	1	0	9	9	90	550	[58,509,139,600]	-462.61	1043.79	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	117.735	56.2815	346.43	129.674	185.87	330.675	423.763	681.821	
3	4	1	0	9	10	128	585	[86,535,180,617]	-456.71	1039.75	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	109.917	12.143	366.346	200.603	110.827	16.287	259.84	216.968	
3	4	1	0	9	11	451	545	[429,524,526,592]	-409.79	1042.25	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	186.974	144.693	747.494	2707.93	661.156	580.332	25337.6	26206.9	
3	4	1	0	9	12	1143	641	[1090,580,1197,700]	-313.72	1030.56	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	126.063	9.5438	879.299	110.201	122.608	7.13085	596.067	603.219	
3	4	1	0	9	13	2125	652	[2091,612,2158,723]	-173.93	1027.26	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	121.956	56.0926	773.835	150.93	114.409	31.5103	510.483	221.746	
3	4	1	0	9	14	167	643	[128,607,211,682]	-452.23	1030.67	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	123.427	20.6366	486.518	117.536	131.899	35.527	314.362	299.659	
3	4	1	0	9	15	509	685	[469,644,560,722]	-403.08	1025.03	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	127.956	34.732	889.251	779.367	140.623	179.165	527.712	311.117	
3	4	1	0	9	16	1879	684	[1829,633,1929,734]	-209.3	1024.77	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	117.162	6.43814	921.082	97.5192	117.099	7.3847	626.174	258.308	
3	4	1	0	9	17	221	718	[155,682,264,757]	-445.3	1019.98	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	164.475	62.788	408.462	421.645	248.453	437.246	552.084	1252.64	
3	4	1	0	9	18	1785	760	[1728,700,1861,823]	-222.57	1013.83	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	135.263	77.2208	1015.75	508.658	141.356	118.706	822.257	855.169	
3	4	1	0	9	19	1707	853	[1653,805,1759,901]	-233.53	1000.82	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	119.588	6.26873	752.844	96.55	123.315	15.0952	605.783	230.819	
3	4	1	0	9	20	2030	914	[1979,879,2067,976]	-188.01	991.2	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	124.661	34.1599	180.527	98.8748	201.057	392.011	252.387	563.15	
3	4	1	0	9	21	1241	969	[1184,906,1307,1034]	-300.08	984.57	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	143.782	52.8591	230.409	94.0284	206.776	402.826	244.765	602.549	
3	4	1	0	9	22	1061	997	[1007,944,1115,1050]	-325.54	980.56	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	123.863	8.03538	671.291	104.946	126.719	25.7388	407.997	238.431	
3	4	1	0	9	23	872	1072	[818,1018,929,1128]	-352.13	969.68	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	119.418	5.20674	787.491	91.6903	129.706	40.5527	611.644	984.917	
3	4	1	0	9	24	315	1079	[266,1031,365,1113]	-431.28	969.33	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	108.365	5.14156	165.121	74.6086	120.223	42.7063	136.793	62.1006	
3	4	1	0	9	25	1203	1090	[1110,1037,1258,1146]	-306.09	967.47	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	122.375	6.11575	726.384	92.6696	127.664	16.5	431.473	199.214	
3	4	1	0	9	26	1576	1094	[1520,1039,1632,1148]	-252.24	966.69	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	122.691	7.04071	759.63	149.964	135.437	129.805	602.627	330.999	
3	4	1	0	9	27	1031	1091	[985,1046,1077,1137]	-329.9	966.91	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	121.358	5.31116	552.58	77.6516	121.326	8.4548	474.687	139.249	
3	4	1	0	9	28	1472	1127	[1421,1071,1523,1203]	-267.2	961.62	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	125.299	8.48453	677.703	102.188	320.819	925.747	870.702	849.005	
3	4	1	0	9	29	2069	1113	[2014,1051,2158,1181]	-180.16	964.37	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	115.98	6.76296	890.389	118.477	122.539	35.7161	705.498	445.462	
3	4	1	0	9	30	403	1136	[364,1102,459,1163]	-417.63	961.36	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	144.621	75.9406	191.279	74.2489	119.436	30.0618	128.215	19.8987	
3	4	1	0	9	31	277	1181	[218,1053,328,1238]	-437.77	957.38	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	110.322	5.71532	840.929	144.176	147.582	114.281	510.018	775.695	
3	4	1	0	9	32	932	1198	[888,1102,988,1253]	-342.9	954.7	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	128.741	63.735	411.411	102.354	165.913	176.074	547.114	451.268	
3	4	1	0	9	33	829	1232	[774,1174,881,1291]	-358.5	946.98	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	122.849	8.14997	701.279	96.8543	131.73	48.1421	516.896	237.014	
3	4	1	0	9	34	681	1322	[634,1273,730,1370]	-379.22	934.32	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	122.32	41.4649	351.48	72.3279	114.65	4.58429	229.678	68.9369	
3	4	1	0	9	35	287	1346	[232,1292,378,1418]	-434.09	930.66	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	141.258	134.392	361.911	221.708	170.049	336.705	517.967	1897.39	
3	4	1	0	9	36	1414	1332	[1366,1281,1465,1382]	-275.27	932.61	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	125.302	7.11857	746.828	89.1584	124.503	9.75828	448.272	216.435	
3	4	1	0	9	37	771	1370	[713,1315,833,1427]	-366.33	927.18	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	121.164	11.1291	476.5	118.216	118.397	5.27056	354.781	143.972	
3	4	1	0	9	38	970	1381	[919,1329,1023,1439]	-338.18	925.71	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	123.229	6.58298	741.797	135.108	126.058	18.1614	577.909	324.473	
3	4	1	0	9	39	633	1421	[582,1370,683,1479]	-386.36	920.03	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	119.882	7.84353	861.093	196.698	163.834	198.525	404.917	291.724	
3	4	1	0	9	40	2064	1454	[2010,1401,2118,1508]	-183.38	915.51	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	117.711	6.58816	1118.7	251.566	120.234	13.3048	876.115	505.852	
3	4	1	0	9	41	1327	1452	[1116,1400,1389,1542]	-297.49	913.7	-10058F4	0	ESRRB ms	Myc D3N8F rb	ms 488	rb 594	123.731	5.68358	688.508	87.4339	134.839	62.7633	569.243	311.113	
