time_point,percentage
0,
1,8.47457627118644
2,16.129032258064516
3,15.625
4,17.1875
5,16.923076923076923
6,21.53846153846154
7,32.30769230769231
8,29.230769230769234
9,30.76923076923077
10,41.53846153846154
11,33.84615384615385
12,41.53846153846154
13,46.15384615384615
14,60.0
15,60.0
16,73.84615384615385
17,72.3076923076923
