Time Point,Percentage of Cells with Significant Growth
0,2.652360515021459
1,0.9957081545064377
2,0.9527896995708154
3,0.8240343347639486
4,1.0729613733905579
5,1.184549356223176
6,1.296137339055794
7,1.296137339055794
8,1.3562231759656653
9,1.5450643776824033
10,1.4592274678111588
11,1.3047210300429186
12,1.536480686695279
13,1.4678111587982834
14,1.5622317596566524
15,1.605150214592275
16,1.9055793991416308
17,2.944206008583691
18,8.334763948497855
