Time Point,Percentage of Cells with Significant Growth
0,12.35632183908046
1,6.445993031358885
2,4.223227752639517
3,2.7696793002915454
4,4.107648725212465
5,4.957507082152975
6,5.524079320113314
7,5.524079320113314
8,4.674220963172805
9,6.6572237960339935
10,5.94900849858357
11,6.6572237960339935
12,7.223796033994335
13,6.6572237960339935
14,8.297567954220316
15,9.654178674351584
16,11.894273127753303
17,19.940029985007495
