n,infected,% infected,replicative,% replicative
434,306,70.50691244239631,86,28.104575163398692
13117,5543,42.25813829381718,1467,26.465812736785132
753,623,82.73572377158035,39,6.260032102728733
6826,6826,100.0,1935,28.347494872546147
