Time Point,Percentage of Cells with Significant Growth
0,19.607843137254903
1,10.78669910786699
2,5.4559043348281016
3,3.113685734974656
4,4.116394606103619
5,3.4410112359550564
6,3.765690376569038
7,4.272915230875259
8,5.044308111792774
9,5.890318212593094
10,4.72972972972973
11,4.476479514415781
12,4.645849200304646
13,4.681504221028396
14,5.092592592592593
15,5.672105672105672
16,7.8660436137071645
17,16.015625
