time_point,percentage
0,
1,24.130879345603272
2,18.26857532379005
3,18.132242672119972
4,20.518064076346285
5,22.76755282890252
6,28.76618950238582
7,34.219495569188815
8,39.94546693933197
9,43.28561690524881
10,50.44308111792775
11,56.7143830947512
12,62.78118609406953
13,68.50715746421268
14,73.27880027266531
15,74.23312883435584
16,77.16428084526244
17,81.32242672119972
18,76.61895023858214
