,row,col,plane,t,field,n,x,y,bacteria,ser_edge_tmrm,sdmean_tmrm,annexin647,hoechst,n_legio_per_cell,legio_area,infected,well_id,cell_lbl
0,3,3,1,0,10,1,1625,386,NI,0.347321,0.562502,119.645,,0,0.0,0,1,w1_f10_c1
123,3,3,1,1,10,1,1533,341,NI,0.400693,0.322075,127.505,295.903,0,0.0,0,1,w1_f10_c1
2163,3,3,1,2,10,1,1540,313,NI,0.393226,0.383845,125.325,408.598,0,0.0,0,1,w1_f10_c1
2390,3,3,1,3,10,1,1536,316,NI,0.386857,0.443271,125.552,409.937,0,0.0,0,1,w1_f10_c1
2625,3,3,1,4,10,1,1531,321,NI,0.397445,0.431156,126.319,436.361,0,0.0,0,1,w1_f10_c1
2864,3,3,1,5,10,1,1576,304,NI,0.395115,0.375762,123.396,490.301,0,0.0,0,1,w1_f10_c1
3103,3,3,1,6,10,1,1605,284,NI,0.411206,0.32651,127.028,421.973,0,0.0,0,1,w1_f10_c1
3337,3,3,1,7,10,1,1606,286,NI,0.404634,0.402963,129.386,423.562,0,0.0,0,1,w1_f10_c1
3575,3,3,1,8,10,1,1646,280,NI,0.408062,0.447856,127.308,389.902,0,0.0,0,1,w1_f10_c1
3805,3,3,1,9,10,1,1678,281,NI,0.40184,0.365114,125.365,421.034,0,0.0,0,1,w1_f10_c1
339,3,3,1,10,10,1,1659,202,NI,0.421696,0.267075,122.931,465.18,0,0.0,0,1,w1_f10_c1
574,3,3,1,11,10,1,1735,154,NI,0.412011,0.349556,122.671,439.322,0,0.0,0,1,w1_f10_c1
802,3,3,1,12,10,1,1742,145,NI,0.419519,0.321012,130.421,354.159,0,0.0,0,1,w1_f10_c1
1029,3,3,1,13,10,1,1652,166,NI,0.425287,0.290939,128.774,432.126,0,0.0,0,1,w1_f10_c1
1259,3,3,1,14,10,1,1657,174,NI,0.433045,0.23357,131.016,447.256,0,0.0,0,1,w1_f10_c1
1488,3,3,1,15,10,1,1739,139,NI,0.426815,0.311044,133.166,408.886,0,0.0,0,1,w1_f10_c1
1716,3,3,1,16,10,1,1632,181,NI,0.410538,0.288362,135.271,326.55,0,0.0,0,1,w1_f10_c1
1940,3,3,1,17,10,1,1696,146,NI,0.437391,0.22963,131.045,436.519,0,0.0,0,1,w1_f10_c1
2391,3,3,1,3,10,10,167,2090,NI,0.286246,0.586497,109.32,238.143,0,0.0,0,1,w1_f10_c10
2626,3,3,1,4,10,10,156,2094,NI,0.276901,0.619798,108.766,253.136,0,0.0,0,1,w1_f10_c10
2865,3,3,1,5,10,10,158,2089,NI,0.304688,0.573273,108.62,282.359,0,0.0,0,1,w1_f10_c10
3104,3,3,1,6,10,10,163,2090,NI,0.267897,0.635028,108.975,304.44,0,0.0,0,1,w1_f10_c10
3338,3,3,1,7,10,10,163,2085,NI,0.28276,0.579253,108.711,317.705,0,0.0,0,1,w1_f10_c10
3576,3,3,1,8,10,10,149,2095,NI,0.284938,0.603651,108.862,326.419,0,0.0,0,1,w1_f10_c10
3806,3,3,1,9,10,10,166,2087,NI,0.282934,0.604681,108.87,344.348,0,0.0,0,1,w1_f10_c10
340,3,3,1,10,10,10,189,1991,NI,0.298115,0.588828,110.464,426.24,0,0.0,0,1,w1_f10_c10
575,3,3,1,11,10,10,225,1951,NI,0.30246,0.639753,113.028,481.064,0,0.0,0,1,w1_f10_c10
803,3,3,1,12,10,10,220,1955,NI,0.28758,0.634481,111.552,518.131,0,0.0,0,1,w1_f10_c10
1030,3,3,1,13,10,10,216,1960,NI,0.272452,0.680805,110.726,502.229,0,0.0,0,1,w1_f10_c10
1260,3,3,1,14,10,10,221,1955,NI,0.302589,0.600241,111.192,501.009,0,0.0,0,1,w1_f10_c10
1489,3,3,1,15,10,10,212,1944,NI,0.26893,0.662547,111.335,526.432,0,0.0,0,1,w1_f10_c10
1717,3,3,1,16,10,10,218,1951,NI,0.28605,0.568938,111.668,535.54,0,0.0,0,1,w1_f10_c10
1941,3,3,1,17,10,10,205,1947,NI,0.302807,0.550639,121.325,504.672,0,0.0,0,1,w1_f10_c10
1,3,3,1,0,10,2,2088,991,NI,0.374279,0.395806,113.385,,0,0.0,0,1,w1_f10_c2
124,3,3,1,1,10,2,1998,905,NI,0.378035,0.366142,116.921,551.074,0,0.0,0,1,w1_f10_c2
2164,3,3,1,2,10,2,1982,921,NI,0.371613,0.345794,117.814,667.623,0,0.0,0,1,w1_f10_c2
2393,3,3,1,3,10,2,1938,935,NI,0.389212,0.30735,119.58,863.1,0,0.0,0,1,w1_f10_c2
2627,3,3,1,4,10,2,1968,890,NI,0.405231,0.305355,118.327,980.668,0,0.0,0,1,w1_f10_c2
2866,3,3,1,5,10,2,1990,901,NI,0.382099,0.325162,118.339,826.622,0,0.0,0,1,w1_f10_c2
3105,3,3,1,6,10,2,1960,898,NI,0.399428,0.287732,118.469,824.214,0,0.0,0,1,w1_f10_c2
3339,3,3,1,7,10,2,2014,905,NI,0.4314,0.23528,118.998,840.794,0,0.0,0,1,w1_f10_c2
3577,3,3,1,8,10,2,2002,881,NI,0.423701,0.231296,121.408,1008.51,0,0.0,0,1,w1_f10_c2
3807,3,3,1,9,10,2,2001,867,NI,0.420586,0.219399,118.17,1066.34,0,0.0,0,1,w1_f10_c2
342,3,3,1,10,10,2,2047,779,NI,0.426095,0.212812,117.908,1075.82,0,0.0,0,1,w1_f10_c2
578,3,3,1,11,10,2,2085,740,NI,0.436311,0.187174,117.911,916.852,0,0.0,0,1,w1_f10_c2
806,3,3,1,12,10,2,2065,769,NI,0.423769,0.219675,120.8,840.26,0,0.0,0,1,w1_f10_c2
1033,3,3,1,13,10,2,2049,747,NI,0.418419,0.196389,118.796,785.018,0,0.0,0,1,w1_f10_c2
1263,3,3,1,14,10,2,2083,753,NI,0.437809,0.182533,117.441,852.943,0,0.0,0,1,w1_f10_c2
1492,3,3,1,15,10,2,2093,749,NI,0.456019,0.158629,118.056,1001.79,0,0.0,0,1,w1_f10_c2
1720,3,3,1,16,10,2,2102,769,NI,0.457426,0.162999,120.791,1083.2,0,0.0,0,1,w1_f10_c2
1944,3,3,1,17,10,2,2098,759,NI,0.432338,0.221875,127.496,844.8,0,0.0,0,1,w1_f10_c2
2,3,3,1,0,10,3,1352,379,NI,0.472458,0.183319,174.637,6076.32,0,0.0,0,1,w1_f10_c3
125,3,3,1,1,10,3,1275,320,NI,0.48128,0.161957,420.875,5922.33,0,0.0,0,1,w1_f10_c3
2165,3,3,1,2,10,3,1268,308,NI,0.478751,0.178221,471.444,5777.96,0,0.0,0,1,w1_f10_c3
2394,3,3,1,3,10,3,1267,310,NI,0.475326,0.177364,532.0,6029.2,0,0.0,0,1,w1_f10_c3
2628,3,3,1,4,10,3,1262,300,NI,0.480805,0.163844,568.957,5918.0,0,0.0,0,1,w1_f10_c3
2867,3,3,1,5,10,3,1266,305,NI,0.481413,0.150539,567.415,5636.0,0,0.0,0,1,w1_f10_c3
3106,3,3,1,6,10,3,1261,303,NI,0.479534,0.170985,641.595,6111.91,0,0.0,0,1,w1_f10_c3
3340,3,3,1,7,10,3,1267,299,NI,0.477029,0.169519,644.616,6095.93,0,0.0,0,1,w1_f10_c3
3578,3,3,1,8,10,3,1267,302,NI,0.470069,0.174585,713.062,6255.97,0,0.0,0,1,w1_f10_c3
3808,3,3,1,9,10,3,1271,298,NI,0.495061,0.142178,714.554,6081.24,0,0.0,0,1,w1_f10_c3
343,3,3,1,10,10,3,1286,201,NI,0.489767,0.13182,671.086,5196.59,0,0.0,0,1,w1_f10_c3
579,3,3,1,11,10,3,1329,166,NI,0.486888,0.146945,698.51,5211.84,0,0.0,0,1,w1_f10_c3
807,3,3,1,12,10,3,1326,171,NI,0.48787,0.147131,800.139,5570.76,0,0.0,0,1,w1_f10_c3
1034,3,3,1,13,10,3,1321,166,NI,0.489429,0.133868,735.918,5270.62,0,0.0,0,1,w1_f10_c3
1264,3,3,1,14,10,3,1318,166,NI,0.489578,0.130834,734.757,5146.5,0,0.0,0,1,w1_f10_c3
1493,3,3,1,15,10,3,1319,161,NI,0.485777,0.142308,795.826,5392.67,0,0.0,0,1,w1_f10_c3
1721,3,3,1,16,10,3,1315,161,NI,0.486682,0.141764,855.409,5562.29,0,0.0,0,1,w1_f10_c3
1945,3,3,1,17,10,3,1315,159,NI,0.492249,0.124053,767.062,5087.09,0,0.0,0,1,w1_f10_c3
128,3,3,1,1,10,6,444,948,NI,0.392921,0.321713,117.513,,0,0.0,0,1,w1_f10_c6
2168,3,3,1,2,10,6,425,961,NI,0.384351,0.333725,117.057,269.817,0,0.0,0,1,w1_f10_c6
2396,3,3,1,3,10,6,417,960,NI,0.368877,0.373355,116.787,296.369,0,0.0,0,1,w1_f10_c6
2630,3,3,1,4,10,6,417,942,NI,0.343562,0.434292,116.975,269.391,0,0.0,0,1,w1_f10_c6
2869,3,3,1,5,10,6,409,978,NI,0.350825,0.400785,116.457,,0,0.0,0,1,w1_f10_c6
3108,3,3,1,6,10,6,338,1071,NI,0.364421,0.401581,116.552,,0,0.0,0,1,w1_f10_c6
3342,3,3,1,7,10,6,417,990,NI,0.37822,0.346268,117.354,,0,0.0,0,1,w1_f10_c6
3579,3,3,1,8,10,6,387,1038,NI,0.398586,0.301085,117.263,,0,0.0,0,1,w1_f10_c6
3809,3,3,1,9,10,6,365,1057,NI,0.41501,0.244971,117.486,,0,0.0,0,1,w1_f10_c6
344,3,3,1,10,10,6,392,941,NI,0.402516,0.270189,117.454,249.693,0,0.0,0,1,w1_f10_c6
580,3,3,1,11,10,6,430,885,NI,0.382825,0.330557,117.981,255.158,0,0.0,0,1,w1_f10_c6
808,3,3,1,12,10,6,424,916,NI,0.374934,0.353962,119.252,258.037,0,0.0,0,1,w1_f10_c6
1035,3,3,1,13,10,6,426,909,NI,0.386692,0.300578,118.558,257.716,0,0.0,0,1,w1_f10_c6
1265,3,3,1,14,10,6,423,916,NI,0.392657,0.298766,118.251,257.447,0,0.0,0,1,w1_f10_c6
1494,3,3,1,15,10,6,434,909,NI,0.381668,0.333014,118.556,262.184,0,0.0,0,1,w1_f10_c6
1722,3,3,1,16,10,6,432,911,NI,0.374706,0.339947,119.029,262.681,0,0.0,0,1,w1_f10_c6
1946,3,3,1,17,10,6,420,908,NI,0.383854,0.316682,118.414,271.231,0,0.0,0,1,w1_f10_c6
129,3,3,1,1,10,7,1967,1273,NI,0.40603,0.344353,118.303,,0,0.0,0,1,w1_f10_c7
2169,3,3,1,2,10,7,1975,1345,NI,0.41711,0.343682,118.855,274.048,0,0.0,0,1,w1_f10_c7
2397,3,3,1,3,10,7,1988,1355,NI,0.416892,0.301021,119.132,280.094,0,0.0,0,1,w1_f10_c7
2631,3,3,1,4,10,7,1985,1348,NI,0.43607,0.279498,119.39,292.11,0,0.0,0,1,w1_f10_c7
2870,3,3,1,5,10,7,1992,1357,NI,0.429127,0.257731,119.98,337.327,0,0.0,0,1,w1_f10_c7
3109,3,3,1,6,10,7,1994,1361,NI,0.450588,0.228925,121.078,291.231,0,0.0,0,1,w1_f10_c7
3343,3,3,1,7,10,7,1996,1381,NI,0.43748,0.271578,121.735,281.884,0,0.0,0,1,w1_f10_c7
3580,3,3,1,8,10,7,1986,1411,NI,0.444954,0.250189,123.23,279.685,0,0.0,0,1,w1_f10_c7
3810,3,3,1,9,10,7,1987,1425,NI,0.419223,0.283273,124.343,304.848,0,0.0,0,1,w1_f10_c7
345,3,3,1,10,10,7,2012,1318,NI,0.40064,0.342619,124.943,347.592,0,0.0,0,1,w1_f10_c7
581,3,3,1,11,10,7,2063,1259,NI,0.401696,0.354315,126.374,306.532,0,0.0,0,1,w1_f10_c7
809,3,3,1,12,10,7,2045,1232,NI,0.404463,0.351743,126.085,283.448,0,0.0,0,1,w1_f10_c7
1036,3,3,1,13,10,7,2056,1226,NI,0.379103,0.433247,126.655,324.654,0,0.0,0,1,w1_f10_c7
1266,3,3,1,14,10,7,2031,1216,NI,0.37048,0.458268,126.243,340.804,0,0.0,0,1,w1_f10_c7
1495,3,3,1,15,10,7,2008,1192,NI,0.37974,0.396282,126.879,346.689,0,0.0,0,1,w1_f10_c7
1723,3,3,1,16,10,7,2056,1215,NI,0.361302,0.461563,124.675,,0,0.0,0,1,w1_f10_c7
1947,3,3,1,17,10,7,2042,1222,NI,0.360981,0.472914,129.291,338.924,0,0.0,0,1,w1_f10_c7
130,3,3,1,1,10,8,1193,1670,NI,0.359545,0.378194,126.403,,0,0.0,0,1,w1_f10_c8
2170,3,3,1,2,10,8,1255,1630,NI,0.385015,0.305391,126.326,321.574,0,0.0,0,1,w1_f10_c8
2398,3,3,1,3,10,8,1271,1578,NI,0.380513,0.310254,126.88,357.608,0,0.0,0,1,w1_f10_c8
2632,3,3,1,4,10,8,1280,1591,NI,0.376603,0.339545,126.752,396.673,0,0.0,0,1,w1_f10_c8
2871,3,3,1,5,10,8,1318,1631,NI,0.36867,0.375951,126.271,421.911,0,0.0,0,1,w1_f10_c8
3110,3,3,1,6,10,8,1239,1644,NI,0.369849,0.342074,127.042,369.133,0,0.0,0,1,w1_f10_c8
3344,3,3,1,7,10,8,1282,1656,NI,0.368879,0.359327,127.365,350.78,0,0.0,0,1,w1_f10_c8
3581,3,3,1,8,10,8,1268,1652,NI,0.36678,0.365927,127.258,339.285,0,0.0,0,1,w1_f10_c8
3811,3,3,1,9,10,8,1294,1651,NI,0.354313,0.394894,127.348,364.716,0,0.0,0,1,w1_f10_c8
346,3,3,1,10,10,8,1319,1556,NI,0.355939,0.410714,127.265,397.115,0,0.0,0,1,w1_f10_c8
582,3,3,1,11,10,8,1364,1518,NI,0.35244,0.4395259999999999,127.932,386.887,0,0.0,0,1,w1_f10_c8
810,3,3,1,12,10,8,1293,1510,NI,0.343925,0.466833,127.615,325.179,0,0.0,0,1,w1_f10_c8
1037,3,3,1,13,10,8,1350,1516,NI,0.341568,0.466512,127.771,363.867,0,0.0,0,1,w1_f10_c8
1267,3,3,1,14,10,8,1320,1497,NI,0.356115,0.440668,127.811,374.439,0,0.0,0,1,w1_f10_c8
1496,3,3,1,15,10,8,1292,1500,NI,0.364872,0.41066,128.114,340.136,0,0.0,0,1,w1_f10_c8
1724,3,3,1,16,10,8,1335,1509,NI,0.366197,0.363411,128.109,290.166,0,0.0,0,1,w1_f10_c8
1948,3,3,1,17,10,8,1289,1485,NI,0.367803,0.399751,128.705,372.759,0,0.0,0,1,w1_f10_c8
3,3,3,1,0,11,1,1445,216,NI,0.301148,0.778041,118.923,212.287,0,0.0,0,1,w1_f11_c1
132,3,3,1,1,11,1,1371,181,NI,0.315068,0.529757,122.452,288.961,0,0.0,0,1,w1_f11_c1
2171,3,3,1,2,11,1,1375,162,NI,0.33673,0.433725,122.595,318.082,0,0.0,0,1,w1_f11_c1
2399,3,3,1,3,11,1,1420,170,NI,0.357237,0.345822,121.67,322.604,0,0.0,0,1,w1_f11_c1
2633,3,3,1,4,11,1,1448,141,NI,0.370457,0.318026,122.239,335.679,0,0.0,0,1,w1_f11_c1
2872,3,3,1,5,11,1,1460,129,NI,0.335681,0.498759,122.564,338.212,0,0.0,0,1,w1_f11_c1
3111,3,3,1,6,11,1,1436,162,NI,0.350151,0.459212,122.459,347.26,0,0.0,0,1,w1_f11_c1
3345,3,3,1,7,11,1,1423,168,NI,0.345426,0.563945,123.09,345.012,0,0.0,0,1,w1_f11_c1
3582,3,3,1,8,11,1,1441,163,NI,0.338588,0.589206,122.941,346.793,0,0.0,0,1,w1_f11_c1
3812,3,3,1,9,11,1,1440,192,NI,0.348351,0.43184,123.885,348.061,0,0.0,0,1,w1_f11_c1
347,3,3,1,10,11,1,1450,122,NI,0.335697,0.480763,122.241,336.795,0,0.0,0,1,w1_f11_c1
583,3,3,1,11,11,1,1475,111,NI,0.363502,0.357056,121.359,344.806,0,0.0,0,1,w1_f11_c1
811,3,3,1,12,11,1,1458,113,NI,0.357966,0.353165,121.124,336.445,0,0.0,0,1,w1_f11_c1
1038,3,3,1,13,11,1,1461,110,NI,0.340879,0.450213,121.723,330.862,0,0.0,0,1,w1_f11_c1
1268,3,3,1,14,11,1,1426,119,NI,0.354378,0.382856,122.215,330.761,0,0.0,0,1,w1_f11_c1
1497,3,3,1,15,11,1,1427,123,NI,0.361999,0.411111,122.33,322.399,0,0.0,0,1,w1_f11_c1
1725,3,3,1,16,11,1,1443,121,NI,0.374205,0.313961,122.652,326.808,0,0.0,0,1,w1_f11_c1
1949,3,3,1,17,11,1,1432,130,NI,0.363913,0.35167,122.917,351.447,0,0.0,0,1,w1_f11_c1
133,3,3,1,1,11,10,1495,1191,NI,0.382937,0.324459,126.268,227.89,0,0.0,0,1,w1_f11_c10
2172,3,3,1,2,11,10,1496,1165,NI,0.381761,0.332775,126.212,,0,0.0,0,1,w1_f11_c10
2400,3,3,1,3,11,10,1499,1157,NI,0.389149,0.300271,127.031,235.905,0,0.0,0,1,w1_f11_c10
2634,3,3,1,4,11,10,1499,1162,NI,0.403852,0.312836,126.867,248.134,0,0.0,0,1,w1_f11_c10
2873,3,3,1,5,11,10,1499,1149,NI,0.403858,0.3075,125.987,249.641,0,0.0,0,1,w1_f11_c10
3112,3,3,1,6,11,10,1504,1156,NI,0.404512,0.293296,126.661,250.147,0,0.0,0,1,w1_f11_c10
3346,3,3,1,7,11,10,1521,1142,NI,0.405559,0.294934,126.042,252.673,0,0.0,0,1,w1_f11_c10
3583,3,3,1,8,11,10,1515,1184,NI,0.381213,0.323204,125.607,250.892,0,0.0,0,1,w1_f11_c10
3813,3,3,1,9,11,10,1533,1166,NI,0.40268,0.272756,125.863,250.204,0,0.0,0,1,w1_f11_c10
348,3,3,1,10,11,10,1548,1069,NI,0.398944,0.294566,124.933,246.052,0,0.0,0,1,w1_f11_c10
584,3,3,1,11,11,10,1587,1048,NI,0.405409,0.27801,124.987,237.93,0,0.0,0,1,w1_f11_c10
812,3,3,1,12,11,10,1578,1040,NI,0.417425,0.243454,125.646,238.647,0,0.0,0,1,w1_f11_c10
1039,3,3,1,13,11,10,1569,1063,NI,0.413307,0.252788,125.414,235.754,0,0.0,0,1,w1_f11_c10
1269,3,3,1,14,11,10,1561,1052,NI,0.413918,0.27584,125.936,239.803,0,0.0,0,1,w1_f11_c10
1498,3,3,1,15,11,10,1541,1042,NI,0.421205,0.267459,125.452,,0,0.0,0,1,w1_f11_c10
1726,3,3,1,16,11,10,1541,1036,NI,0.426747,0.251882,125.297,249.533,0,0.0,0,1,w1_f11_c10
1950,3,3,1,17,11,10,1526,1026,NI,0.418103,0.271003,125.681,240.873,0,0.0,0,1,w1_f11_c10
134,3,3,1,1,11,11,1778,1347,NI,0.392292,0.289734,121.296,265.053,0,0.0,0,1,w1_f11_c11
2173,3,3,1,2,11,11,1830,1348,NI,0.40158,0.292229,120.869,308.737,0,0.0,0,1,w1_f11_c11
2401,3,3,1,3,11,11,1774,1305,NI,0.389994,0.275661,120.627,305.674,0,0.0,0,1,w1_f11_c11
2635,3,3,1,4,11,11,1817,1314,NI,0.413006,0.262122,120.59,329.015,0,0.0,0,1,w1_f11_c11
2874,3,3,1,5,11,11,1804,1337,NI,0.438661,0.227606,121.566,241.466,0,0.0,0,1,w1_f11_c11
3113,3,3,1,6,11,11,1835,1323,NI,0.436246,0.210071,120.672,247.995,0,0.0,0,1,w1_f11_c11
3347,3,3,1,7,11,11,1893,1298,NI,0.446408,0.193333,120.653,249.708,0,0.0,0,1,w1_f11_c11
3584,3,3,1,8,11,11,1854,1397,NI,0.415851,0.256897,120.972,245.748,0,0.0,0,1,w1_f11_c11
3814,3,3,1,9,11,11,1860,1340,NI,0.423279,0.236939,120.649,254.01,0,0.0,0,1,w1_f11_c11
349,3,3,1,10,11,11,1880,1252,NI,0.419617,0.257857,120.52,,0,0.0,0,1,w1_f11_c11
585,3,3,1,11,11,11,1937,1183,NI,0.427045,0.232793,120.017,244.723,0,0.0,0,1,w1_f11_c11
813,3,3,1,12,11,11,1918,1165,NI,0.394341,0.293823,120.283,253.15,0,0.0,0,1,w1_f11_c11
1040,3,3,1,13,11,11,1888,1232,NI,0.411482,0.282657,120.467,,0,0.0,0,1,w1_f11_c11
1270,3,3,1,14,11,11,1872,1201,NI,0.408902,0.273567,120.846,251.114,0,0.0,0,1,w1_f11_c11
1499,3,3,1,15,11,11,1877,1167,NI,0.42709,0.246365,121.198,,0,0.0,0,1,w1_f11_c11
1727,3,3,1,16,11,11,1888,1238,NI,0.411996,0.254999,121.459,246.666,0,0.0,0,1,w1_f11_c11
1951,3,3,1,17,11,11,1871,1206,NI,0.411748,0.26818,121.611,253.77,0,0.0,0,1,w1_f11_c11
135,3,3,1,1,11,12,188,1930,NI,0.415095,0.317032,170.372,237.18,0,0.0,0,1,w1_f11_c12
2174,3,3,1,2,11,12,152,1893,NI,0.423761,0.276527,169.49,252.777,0,0.0,0,1,w1_f11_c12
2402,3,3,1,3,11,12,151,1899,NI,0.438049,0.231557,187.732,284.459,0,0.0,0,1,w1_f11_c12
2636,3,3,1,4,11,12,147,1891,NI,0.448553,0.222561,187.048,312.942,0,0.0,0,1,w1_f11_c12
2875,3,3,1,5,11,12,133,1900,NI,0.447192,0.221562,178.852,287.889,0,0.0,0,1,w1_f11_c12
3114,3,3,1,6,11,12,154,1889,NI,0.456864,0.19993,184.193,302.334,0,0.0,0,1,w1_f11_c12
3348,3,3,1,7,11,12,131,1890,NI,0.45882,0.20083,176.885,300.78,0,0.0,0,1,w1_f11_c12
3585,3,3,1,8,11,12,126,1892,NI,0.448353,0.206605,174.828,296.509,0,0.0,0,1,w1_f11_c12
3815,3,3,1,9,11,12,123,1882,NI,0.44557,0.21781,182.606,327.57,0,0.0,0,1,w1_f11_c12
350,3,3,1,10,11,12,126,1776,NI,0.444228,0.204434,175.95,363.731,0,0.0,0,1,w1_f11_c12
586,3,3,1,11,11,12,170,1759,NI,0.449669,0.208989,175.057,428.088,0,0.0,0,1,w1_f11_c12
814,3,3,1,12,11,12,154,1741,NI,0.452215,0.191469,177.177,453.746,0,0.0,0,1,w1_f11_c12
1041,3,3,1,13,11,12,154,1740,NI,0.453077,0.186053,177.698,414.442,0,0.0,0,1,w1_f11_c12
1271,3,3,1,14,11,12,183,1756,NI,0.451022,0.191874,184.601,433.994,0,0.0,0,1,w1_f11_c12
1500,3,3,1,15,11,12,160,1753,NI,0.458185,0.185723,176.74,424.365,0,0.0,0,1,w1_f11_c12
1728,3,3,1,16,11,12,191,1750,NI,0.455974,0.189652,177.369,438.565,0,0.0,0,1,w1_f11_c12
1952,3,3,1,17,11,12,170,1755,NI,0.451128,0.188759,172.009,406.255,0,0.0,0,1,w1_f11_c12
136,3,3,1,1,11,13,1398,2072,NI,0.361387,0.390035,120.924,287.067,0,0.0,0,1,w1_f11_c13
2175,3,3,1,2,11,13,1365,2073,NI,0.398088,0.31767,121.241,359.082,0,0.0,0,1,w1_f11_c13
2403,3,3,1,3,11,13,1361,2079,NI,0.406779,0.278326,120.841,499.778,0,0.0,0,1,w1_f11_c13
2637,3,3,1,4,11,13,1367,2082,NI,0.40203,0.286278,120.904,498.396,0,0.0,0,1,w1_f11_c13
2876,3,3,1,5,11,13,1357,2080,NI,0.431355,0.221687,121.453,431.567,0,0.0,0,1,w1_f11_c13
3115,3,3,1,6,11,13,1401,2081,NI,0.432609,0.229865,121.521,508.224,0,0.0,0,1,w1_f11_c13
3349,3,3,1,7,11,13,1360,2087,NI,0.417367,0.289232,121.589,558.072,0,0.0,0,1,w1_f11_c13
3586,3,3,1,8,11,13,1388,2090,NI,0.437104,0.21742,122.475,563.552,0,0.0,0,1,w1_f11_c13
3816,3,3,1,9,11,13,1380,2090,NI,0.438213,0.219927,122.39,684.278,0,0.0,0,1,w1_f11_c13
4,3,3,1,0,11,2,1400,1561,NI,0.362155,0.452867,122.695,214.591,0,0.0,0,1,w1_f11_c2
137,3,3,1,1,11,2,1407,1545,NI,0.382003,0.388333,126.592,390.41,0,0.0,0,1,w1_f11_c2
2176,3,3,1,2,11,2,1368,1570,NI,0.383497,0.369529,127.387,433.101,0,0.0,0,1,w1_f11_c2
2404,3,3,1,3,11,2,1318,1617,NI,0.394431,0.318377,126.575,671.736,0,0.0,0,1,w1_f11_c2
2638,3,3,1,4,11,2,1311,1583,NI,0.421765,0.255131,127.014,722.649,0,0.0,0,1,w1_f11_c2
2877,3,3,1,5,11,2,1339,1576,NI,0.43986,0.212865,127.862,654.118,0,0.0,0,1,w1_f11_c2
3116,3,3,1,6,11,2,1305,1607,NI,0.43481,0.243893,127.357,759.45,0,0.0,0,1,w1_f11_c2
3350,3,3,1,7,11,2,1276,1610,NI,0.454104,0.184412,127.775,718.149,0,0.0,0,1,w1_f11_c2
3587,3,3,1,8,11,2,1280,1620,NI,0.469407,0.158304,128.139,655.528,0,0.0,0,1,w1_f11_c2
3817,3,3,1,9,11,2,1246,1637,NI,0.450647,0.170009,127.883,725.905,0,0.0,0,1,w1_f11_c2
353,3,3,1,10,11,2,1274,1531,NI,0.46938,0.147609,128.083,625.728,0,0.0,0,1,w1_f11_c2
589,3,3,1,11,11,2,1347,1509,NI,0.46268,0.160653,127.935,658.168,0,0.0,0,1,w1_f11_c2
817,3,3,1,12,11,2,1384,1503,NI,0.443808,0.198086,128.422,795.601,0,0.0,0,1,w1_f11_c2
1044,3,3,1,13,11,2,1320,1499,NI,0.447338,0.184216,128.982,632.745,0,0.0,0,1,w1_f11_c2
1274,3,3,1,14,11,2,1332,1491,NI,0.461544,0.172894,129.025,837.405,0,0.0,0,1,w1_f11_c2
1503,3,3,1,15,11,2,1339,1488,NI,0.506283,0.0936366,288.579,2958.38,0,0.0,0,1,w1_f11_c2
1731,3,3,1,16,11,2,1283,1438,NI,0.517236,0.0805307,382.822,5548.92,0,0.0,0,1,w1_f11_c2
1955,3,3,1,17,11,2,1283,1523,NI,0.521017,0.0819103,623.0,4105.61,0,0.0,0,1,w1_f11_c2
5,3,3,1,0,11,3,282,1736,NI,0.321675,0.540265,112.98,,0,0.0,0,1,w1_f11_c3
138,3,3,1,1,11,3,237,1650,NI,0.385274,0.428695,198.963,328.29,0,0.0,0,1,w1_f11_c3
2177,3,3,1,2,11,3,239,1610,NI,0.387631,0.399111,180.67,440.298,0,0.0,0,1,w1_f11_c3
2405,3,3,1,3,11,3,209,1549,NI,0.414073,0.314585,187.311,514.074,0,0.0,0,1,w1_f11_c3
2639,3,3,1,4,11,3,204,1562,NI,0.416054,0.316086,197.142,584.462,0,0.0,0,1,w1_f11_c3
2878,3,3,1,5,11,3,213,1545,NI,0.390595,0.349055,198.604,584.222,0,0.0,0,1,w1_f11_c3
3117,3,3,1,6,11,3,194,1559,NI,0.41026,0.322825,214.527,584.222,0,0.0,0,1,w1_f11_c3
3351,3,3,1,7,11,3,211,1551,NI,0.420727,0.312131,210.275,591.222,0,0.0,0,1,w1_f11_c3
3588,3,3,1,8,11,3,162,1503,NI,0.420964,0.305377,208.246,569.837,0,0.0,0,1,w1_f11_c3
3818,3,3,1,9,11,3,150,1487,NI,0.425644,0.279519,204.176,580.011,0,0.0,0,1,w1_f11_c3
354,3,3,1,10,11,3,170,1402,NI,0.416266,0.311619,201.719,683.818,0,0.0,0,1,w1_f11_c3
590,3,3,1,11,11,3,198,1376,NI,0.425898,0.258367,201.852,695.327,0,0.0,0,1,w1_f11_c3
818,3,3,1,12,11,3,186,1382,NI,0.43348,0.247932,205.57,704.048,0,0.0,0,1,w1_f11_c3
1045,3,3,1,13,11,3,163,1374,NI,0.406633,0.298542,213.139,763.885,0,0.0,0,1,w1_f11_c3
1275,3,3,1,14,11,3,180,1386,NI,0.415428,0.278271,202.261,705.284,0,0.0,0,1,w1_f11_c3
