,Unnamed: 0,t,bact,mito_frag,mito_pot,annexin,hoechst,leg_n,leg_area,infected,cell_lbl,well_id,growth
1017,2020,9,Lpp WT,0.405496,0.2700369999999999,113.434,416.201,11.0,30.8086,1.0,w1_f10_c6,,1
1018,2021,10,Lpp WT,0.399733,0.268816,115.316,479.141,7.0,41.4624,1.0,w1_f10_c6,,1
1019,2022,11,Lpp WT,0.429279,0.221262,117.584,507.741,4.0,44.8856,1.0,w1_f10_c6,,1
1020,2023,12,Lpp WT,0.387403,0.289579,123.151,508.235,7.0,61.8705,1.0,w1_f10_c6,,1
1021,2024,13,Lpp WT,0.403961,0.265502,124.507,506.085,8.0,63.2677,1.0,w1_f10_c6,,1
1022,2025,14,Lpp WT,0.412006,0.271167,138.543,1553.99,7.0,63.8266,1.0,w1_f10_c6,,1
1023,2026,15,Lpp WT,0.478242,0.184279,238.638,2789.51,7.0,62.0189,1.0,w1_f10_c6,,1
1024,2027,16,Lpp WT,0.507556,0.110991,662.5139999999999,4110.66,15.0,48.4659,1.0,w1_f10_c6,,1
1025,2028,17,Lpp WT,0.497792,0.137321,868.132,4035.13,11.0,70.245,1.0,w1_f10_c6,,1
1026,2029,0,Lpp WT,0.373178,0.481267,112.648,231.826,4.0,10.0425,1.0,w1_f10_c7,,0
1027,2030,1,Lpp WT,0.381625,0.39504,111.523,316.902,4.0,9.47487,1.0,w1_f10_c7,,0
1028,2031,2,Lpp WT,0.412204,0.325287,118.12,440.016,4.0,8.17371,1.0,w1_f10_c7,,0
1029,2032,3,Lpp WT,0.412084,0.311538,113.909,526.876,5.0,9.21289,1.0,w1_f10_c7,,0
1030,2033,4,Lpp WT,0.413522,0.299192,113.114,618.201,4.0,9.84164,1.0,w1_f10_c7,,0
1031,2034,5,Lpp WT,0.401578,0.310669,112.582,689.503,3.0,8.924719999999999,1.0,w1_f10_c7,,0
1032,2035,6,Lpp WT,0.4053489999999999,0.356327,111.975,719.7080000000001,4.0,10.3656,1.0,w1_f10_c7,,0
1033,2036,7,Lpp WT,0.416656,0.340275,112.689,755.5010000000001,5.0,12.2431,1.0,w1_f10_c7,,0
1034,2037,8,Lpp WT,0.412062,0.331207,112.452,799.83,5.0,12.8282,1.0,w1_f10_c7,,0
