,row,col,plane,t,field,n,x,y,bacteria,ser_edge_tmrm,sdmean_tmrm,annexin647,hoechst,n_legio_per_cell,legio_area,infected,well_id,cell_lbl,growth
56326,5,3,1,1,10,10,192,716,Lpp_dotA,0.332662,0.498029,112.255,320.366,6,4.14798,1,11,w11_f10_c10,0
58313,5,3,1,2,10,10,130,728,Lpp_dotA,0.340104,0.450641,111.953,1354.49,6,6.99481,1,11,w11_f10_c10,0
58526,5,3,1,3,10,10,134,715,Lpp_dotA,0.270178,0.632272,111.915,449.356,6,4.54095,1,11,w11_f10_c10,0
58745,5,3,1,4,10,10,114,724,Lpp_dotA,0.272009,0.620269,111.347,473.079,2,3.65896,1,11,w11_f10_c10,0
58973,5,3,1,5,10,10,112,703,Lpp_dotA,0.266328,0.642174,112.509,514.241,3,7.02101,1,11,w11_f10_c10,0
59199,5,3,1,6,10,10,124,743,Lpp_dotA,0.278919,0.569536,112.266,503.804,5,10.9769,1,11,w11_f10_c10,0
59424,5,3,1,7,10,10,139,671,Lpp_dotA,0.377647,0.340371,112.805,487.04,6,8.83739,1,11,w11_f10_c10,0
59649,5,3,1,8,10,10,149,663,Lpp_dotA,0.390815,0.316637,112.244,505.647,4,11.7017,1,11,w11_f10_c10,0
59877,5,3,1,9,10,10,142,749,Lpp_dotA,0.375065,0.347977,114.309,484.329,9,12.2256,1,11,w11_f10_c10,0
56534,5,3,1,10,10,10,122,629,Lpp_dotA,0.403614,0.316449,112.467,485.915,5,12.1296,1,11,w11_f10_c10,0
56746,5,3,1,11,10,10,250,541,Lpp_dotA,0.401965,0.293005,115.104,495.772,5,10.7149,1,11,w11_f10_c10,0
56966,5,3,1,12,10,10,251,539,Lpp_dotA,0.411841,0.282111,114.912,495.193,7,6.98608,1,11,w11_f10_c10,0
57186,5,3,1,13,10,10,123,621,Lpp_dotA,0.411919,0.290045,114.515,491.356,6,11.9986,1,11,w11_f10_c10,0
57405,5,3,1,14,10,10,183,587,Lpp_dotA,0.419617,0.290504,113.545,487.951,11,10.0163,1,11,w11_f10_c10,0
57627,5,3,1,15,10,10,200,567,Lpp_dotA,0.399121,0.323684,114.356,491.223,8,9.61459,1,11,w11_f10_c10,0
57855,5,3,1,16,10,10,238,573,Lpp_dotA,0.413346,0.281512,114.017,495.3,7,10.8197,1,11,w11_f10_c10,0
58083,5,3,1,17,10,10,172,570,Lpp_dotA,0.419557,0.296433,113.172,489.558,11,9.59713,1,11,w11_f10_c10,0
58528,5,3,1,3,10,13,1822,2002,Lpp_dotA,0.386836,0.36586,121.271,259.193,1,1.71159,1,11,w11_f10_c13,0
58747,5,3,1,4,10,13,1823,1991,Lpp_dotA,0.396874,0.353824,121.279,275.711,4,2.21808,1,11,w11_f10_c13,0
58974,5,3,1,5,10,13,1821,1997,Lpp_dotA,0.393944,0.344094,123.321,268.342,2,2.62851,1,11,w11_f10_c13,0
59200,5,3,1,6,10,13,1819,1995,Lpp_dotA,0.402092,0.333141,123.409,319.312,0,0.0,0,11,w11_f10_c13,0
59425,5,3,1,7,10,13,1823,1996,Lpp_dotA,0.410592,0.28536,123.587,380.991,0,0.0,0,11,w11_f10_c13,0
59650,5,3,1,8,10,13,1829,1984,Lpp_dotA,0.413074,0.29179,122.959,431.486,0,0.0,0,11,w11_f10_c13,0
59878,5,3,1,9,10,13,1825,1982,Lpp_dotA,0.423283,0.269019,124.88,305.878,1,1.86004,1,11,w11_f10_c13,0
56535,5,3,1,10,10,13,1811,1921,Lpp_dotA,0.391051,0.332628,123.08,345.183,1,2.24428,1,11,w11_f10_c13,0
56747,5,3,1,11,10,13,1849,1853,Lpp_dotA,0.423719,0.280334,124.285,359.987,1,1.49327,1,11,w11_f10_c13,0
56967,5,3,1,12,10,13,1849,1868,Lpp_dotA,0.38393,0.319759,121.971,343.305,1,3.03894,1,11,w11_f10_c13,0
57187,5,3,1,13,10,13,1845,1870,Lpp_dotA,0.409755,0.299195,122.821,353.95,1,3.28346,1,11,w11_f10_c13,0
57406,5,3,1,14,10,13,1838,1877,Lpp_dotA,0.425717,0.272777,123.395,387.902,1,2.55865,1,11,w11_f10_c13,0
57628,5,3,1,15,10,13,1824,1894,Lpp_dotA,0.499046,0.092345,126.208,524.901,0,0.0,0,11,w11_f10_c13,0
57856,5,3,1,16,10,13,1836,1847,Lpp_dotA,0.488592,0.139124,129.359,926.421,2,1.94737,1,11,w11_f10_c13,0
58084,5,3,1,17,10,13,1810,1886,Lpp_dotA,0.490098,0.0910811,123.413,1023.4,0,0.0,0,11,w11_f10_c13,0
56200,5,3,1,0,10,2,692,545,Lpp_dotA,0.377173,0.358865,135.94,277.14,10,15.2035,1,11,w11_f10_c2,0
56328,5,3,1,1,10,2,628,563,Lpp_dotA,0.405855,0.324076,149.789,455.07,13,30.4244,1,11,w11_f10_c2,0
58315,5,3,1,2,10,2,617,529,Lpp_dotA,0.444946,0.185068,142.385,590.029,20,39.0609,1,11,w11_f10_c2,0
58529,5,3,1,3,10,2,611,494,Lpp_dotA,0.432044,0.200878,144.256,683.593,14,35.1836,1,11,w11_f10_c2,0
58748,5,3,1,4,10,2,588,512,Lpp_dotA,0.448337,0.180305,141.339,789.779,18,36.1268,1,11,w11_f10_c2,0
58975,5,3,1,5,10,2,543,452,Lpp_dotA,0.430003,0.22349,137.594,800.173,19,44.9118,1,11,w11_f10_c2,0
59201,5,3,1,6,10,2,528,435,Lpp_dotA,0.434959,0.213278,137.407,959.657,15,38.9561,1,11,w11_f10_c2,0
59426,5,3,1,7,10,2,549,471,Lpp_dotA,0.41856,0.22911,138.076,1086.5,17,39.9167,1,11,w11_f10_c2,0
59651,5,3,1,8,10,2,556,502,Lpp_dotA,0.427349,0.223574,147.117,1171.69,15,39.7595,1,11,w11_f10_c2,0
59879,5,3,1,9,10,2,530,471,Lpp_dotA,0.405117,0.29547,179.346,1405.72,11,39.7945,1,11,w11_f10_c2,0
56537,5,3,1,10,10,2,584,455,Lpp_dotA,0.436349,0.312617,462.329,3887.83,11,27.0798,1,11,w11_f10_c2,0
56749,5,3,1,11,10,2,618,434,Lpp_dotA,0.448021,0.309498,1023.71,4393.55,11,24.9228,1,11,w11_f10_c2,0
56969,5,3,1,12,10,2,628,425,Lpp_dotA,0.439102,0.320474,1121.04,4529.56,8,25.0014,1,11,w11_f10_c2,0
57189,5,3,1,13,10,2,625,428,Lpp_dotA,0.443334,0.347501,1076.64,4548.46,8,25.7524,1,11,w11_f10_c2,0
57408,5,3,1,14,10,2,624,425,Lpp_dotA,0.446616,0.318163,1070.68,4572.73,8,26.0406,1,11,w11_f10_c2,0
57630,5,3,1,15,10,2,633,422,Lpp_dotA,0.44701,0.345118,1079.83,4629.55,11,24.1282,1,11,w11_f10_c2,0
57858,5,3,1,16,10,2,620,425,Lpp_dotA,0.447518,0.312971,1009.31,4555.67,8,22.8619,1,11,w11_f10_c2,0
58086,5,3,1,17,10,2,612,420,Lpp_dotA,0.442228,0.327141,1018.65,4578.82,9,24.9141,1,11,w11_f10_c2,0
56202,5,3,1,0,10,4,1279,980,Lpp_dotA,0.464201,0.1447,132.751,,8,18.0241,1,11,w11_f10_c4,0
56329,5,3,1,1,10,4,1105,856,Lpp_dotA,0.471369,0.130796,125.083,349.152,12,22.8707,1,11,w11_f10_c4,0
58316,5,3,1,2,10,4,1120,808,Lpp_dotA,0.461849,0.142007,125.877,406.314,13,33.0354,1,11,w11_f10_c4,0
58530,5,3,1,3,10,4,1126,848,Lpp_dotA,0.448034,0.166661,126.094,431.017,12,31.9264,1,11,w11_f10_c4,0
58749,5,3,1,4,10,4,1122,865,Lpp_dotA,0.46622,0.128922,126.794,453.505,12,26.2327,1,11,w11_f10_c4,0
58976,5,3,1,5,10,4,1068,821,Lpp_dotA,0.477068,0.117979,130.443,447.337,13,24.984,1,11,w11_f10_c4,0
59202,5,3,1,6,10,4,1114,824,Lpp_dotA,0.476019,0.120198,133.839,449.336,10,24.8093,1,11,w11_f10_c4,0
59427,5,3,1,7,10,4,1108,783,Lpp_dotA,0.481648,0.11098,192.634,456.913,13,33.3673,1,11,w11_f10_c4,0
59652,5,3,1,8,10,4,1136,783,Lpp_dotA,0.490609,0.0965451,268.26,462.345,15,31.743,1,11,w11_f10_c4,0
59880,5,3,1,9,10,4,1127,831,Lpp_dotA,0.487295,0.100552,185.533,431.197,24,31.0182,1,11,w11_f10_c4,0
56538,5,3,1,10,10,4,1100,689,Lpp_dotA,0.490198,0.0923653,212.742,469.291,13,23.3422,1,11,w11_f10_c4,0
56750,5,3,1,11,10,4,1191,647,Lpp_dotA,0.490123,0.103513,298.242,437.587,13,27.5775,1,11,w11_f10_c4,0
56970,5,3,1,12,10,4,1187,675,Lpp_dotA,0.486972,0.108237,212.866,435.048,15,30.7911,1,11,w11_f10_c4,0
57190,5,3,1,13,10,4,1158,721,Lpp_dotA,0.483991,0.112131,145.128,459.94,17,24.2941,1,11,w11_f10_c4,0
57409,5,3,1,14,10,4,1163,708,Lpp_dotA,0.485969,0.111927,198.406,451.986,13,26.0581,1,11,w11_f10_c4,0
57631,5,3,1,15,10,4,1197,722,Lpp_dotA,0.481758,0.112492,146.645,454.934,13,24.9316,1,11,w11_f10_c4,0
57859,5,3,1,16,10,4,1189,716,Lpp_dotA,0.482632,0.108791,145.323,466.78,13,23.3946,1,11,w11_f10_c4,0
58087,5,3,1,17,10,4,1166,700,Lpp_dotA,0.485234,0.121546,146.007,476.614,12,23.7876,1,11,w11_f10_c4,0
56203,5,3,1,0,10,5,603,993,Lpp_dotA,0.281885,0.721633,128.902,242.392,1,1.48454,1,11,w11_f10_c5,0
56330,5,3,1,1,10,5,466,961,Lpp_dotA,0.277315,0.722433,119.347,402.43,1,0.620015,1,11,w11_f10_c5,0
58317,5,3,1,2,10,5,529,924,Lpp_dotA,0.273117,0.653821,119.033,479.851,0,0.0,0,11,w11_f10_c5,0
58531,5,3,1,3,10,5,541,905,Lpp_dotA,0.273977,0.753621,119.012,519.229,0,0.0,0,11,w11_f10_c5,0
58750,5,3,1,4,10,5,593,896,Lpp_dotA,0.287465,0.619216,118.738,534.129,0,0.0,0,11,w11_f10_c5,0
58977,5,3,1,5,10,5,584,899,Lpp_dotA,0.281925,0.69876,119.105,568.944,0,0.0,0,11,w11_f10_c5,0
59203,5,3,1,6,10,5,529,905,Lpp_dotA,0.282002,0.655272,119.008,552.863,0,0.0,0,11,w11_f10_c5,0
59428,5,3,1,7,10,5,574,890,Lpp_dotA,0.286348,0.633613,118.98,552.885,0,0.0,0,11,w11_f10_c5,0
59653,5,3,1,8,10,5,532,899,Lpp_dotA,0.294138,0.566338,118.728,528.026,0,0.0,0,11,w11_f10_c5,0
59881,5,3,1,9,10,5,563,887,Lpp_dotA,0.328252,0.481134,119.083,508.131,0,0.0,0,11,w11_f10_c5,0
56539,5,3,1,10,10,5,591,792,Lpp_dotA,0.362698,0.383813,118.549,515.417,0,0.0,0,11,w11_f10_c5,0
56751,5,3,1,11,10,5,567,765,Lpp_dotA,0.372218,0.364106,119.973,516.148,0,0.0,0,11,w11_f10_c5,0
56971,5,3,1,12,10,5,616,752,Lpp_dotA,0.370877,0.353907,121.912,498.74,0,0.0,0,11,w11_f10_c5,0
57191,5,3,1,13,10,5,621,764,Lpp_dotA,0.355506,0.372139,119.836,494.92,0,0.0,0,11,w11_f10_c5,0
57410,5,3,1,14,10,5,599,745,Lpp_dotA,0.358891,0.366605,119.58,494.507,0,0.0,0,11,w11_f10_c5,0
57632,5,3,1,15,10,5,558,757,Lpp_dotA,0.345337,0.463011,119.94,497.459,0,0.0,0,11,w11_f10_c5,0
57860,5,3,1,16,10,5,534,762,Lpp_dotA,0.361493,0.388042,119.552,500.081,0,0.0,0,11,w11_f10_c5,0
58088,5,3,1,17,10,5,592,752,Lpp_dotA,0.363251,0.380541,120.213,490.235,0,0.0,0,11,w11_f10_c5,0
56204,5,3,1,0,10,6,365,1073,Lpp_dotA,0.316908,0.688057,124.404,,5,9.14303,1,11,w11_f10_c6,0
56331,5,3,1,1,10,6,265,1092,Lpp_dotA,0.365819,0.457543,116.08,370.031,14,23.3859,1,11,w11_f10_c6,0
58318,5,3,1,2,10,6,181,1047,Lpp_dotA,0.358592,0.430841,117.37,486.945,19,39.7508,1,11,w11_f10_c6,0
58532,5,3,1,3,10,6,172,1046,Lpp_dotA,0.367642,0.423261,119.465,573.691,10,24.102,1,11,w11_f10_c6,0
58751,5,3,1,4,10,6,177,1064,Lpp_dotA,0.391395,0.296091,121.829,655.447,14,28.215,1,11,w11_f10_c6,0
58978,5,3,1,5,10,6,188,1043,Lpp_dotA,0.390784,0.328039,123.966,671.862,16,26.9837,1,11,w11_f10_c6,0
59204,5,3,1,6,10,6,195,1021,Lpp_dotA,0.394298,0.312347,126.518,730.647,8,30.9309,1,11,w11_f10_c6,0
59429,5,3,1,7,10,6,189,1028,Lpp_dotA,0.403391,0.271762,126.233,736.549,14,30.5204,1,11,w11_f10_c6,0
59654,5,3,1,8,10,6,192,1042,Lpp_dotA,0.420152,0.230349,128.847,758.709,14,26.2065,1,11,w11_f10_c6,0
59882,5,3,1,9,10,6,167,1024,Lpp_dotA,0.422401,0.222977,130.972,686.918,13,30.7649,1,11,w11_f10_c6,0
56540,5,3,1,10,10,6,185,944,Lpp_dotA,0.439276,0.184157,130.096,781.761,7,18.2511,1,11,w11_f10_c6,0
56752,5,3,1,11,10,6,204,918,Lpp_dotA,0.442588,0.190165,128.783,819.925,13,24.5037,1,11,w11_f10_c6,0
56972,5,3,1,12,10,6,192,924,Lpp_dotA,0.445281,0.182436,135.07,795.58,9,26.4074,1,11,w11_f10_c6,0
57192,5,3,1,13,10,6,202,929,Lpp_dotA,0.456039,0.161783,134.743,813.197,11,29.9179,1,11,w11_f10_c6,0
57411,5,3,1,14,10,6,186,927,Lpp_dotA,0.4453,0.182521,133.507,835.222,19,29.2804,1,11,w11_f10_c6,0
57633,5,3,1,15,10,6,203,923,Lpp_dotA,0.440878,0.188792,130.386,842.207,12,24.364,1,11,w11_f10_c6,0
57861,5,3,1,16,10,6,201,913,Lpp_dotA,0.452054,0.175993,131.262,858.885,8,21.4822,1,11,w11_f10_c6,0
58089,5,3,1,17,10,6,163,909,Lpp_dotA,0.445373,0.181801,129.269,859.065,13,31.4199,1,11,w11_f10_c6,0
56334,5,3,1,1,10,9,1148,555,Lpp_dotA,0.469497,0.153669,125.125,256.401,2,3.5891,1,11,w11_f10_c9,0
58319,5,3,1,2,10,9,1129,542,Lpp_dotA,0.48956,0.106422,152.363,845.277,1,0.83833,1,11,w11_f10_c9,0
58533,5,3,1,3,10,9,1120,542,Lpp_dotA,0.491271,0.101407,166.838,2822.66,4,1.25749,1,11,w11_f10_c9,0
58752,5,3,1,4,10,9,1124,539,Lpp_dotA,0.521956,0.0500467,620.275,6058.08,0,0.0,0,11,w11_f10_c9,0
58979,5,3,1,5,10,9,1140,561,Lpp_dotA,0.516474,0.0669079,732.854,7906.94,4,1.13524,1,11,w11_f10_c9,0
59205,5,3,1,6,10,9,1133,556,Lpp_dotA,0.514913,0.0694005,863.72,7780.94,2,0.969319,1,11,w11_f10_c9,0
59430,5,3,1,7,10,9,1164,526,Lpp_dotA,0.510487,0.0814255,1016.35,7825.64,2,1.07411,1,11,w11_f10_c9,0
59655,5,3,1,8,10,9,1127,508,Lpp_dotA,0.507673,0.0822863,1197.37,7701.68,1,0.0261978,1,11,w11_f10_c9,0
59883,5,3,1,9,10,9,1164,531,Lpp_dotA,0.512459,0.0893234,1027.09,7846.14,3,1.74652,1,11,w11_f10_c9,0
56541,5,3,1,10,10,9,1165,429,Lpp_dotA,0.511469,0.0781266,1209.24,7683.73,0,0.0,0,11,w11_f10_c9,0
56753,5,3,1,11,10,9,1156,370,Lpp_dotA,0.511727,0.0810661,1362.86,7621.24,0,0.0,0,11,w11_f10_c9,0
56973,5,3,1,12,10,9,1157,382,Lpp_dotA,0.510954,0.0822977,1273.8,7632.0,1,0.209582,1,11,w11_f10_c9,0
57193,5,3,1,13,10,9,1155,412,Lpp_dotA,0.511388,0.079541,1178.52,7572.17,3,0.104791,1,11,w11_f10_c9,0
57412,5,3,1,14,10,9,1134,394,Lpp_dotA,0.510687,0.0814257,1300.27,7576.73,3,0.122256,1,11,w11_f10_c9,0
57634,5,3,1,15,10,9,1152,406,Lpp_dotA,0.51051,0.0834934,1188.11,7602.62,1,0.244513,1,11,w11_f10_c9,0
57862,5,3,1,16,10,9,1148,405,Lpp_dotA,0.512972,0.0786539,1199.51,7403.23,2,0.130989,1,11,w11_f10_c9,0
58090,5,3,1,17,10,9,1151,405,Lpp_dotA,0.510222,0.0813087,1225.4,7430.41,1,0.0698608,1,11,w11_f10_c9,0
56207,5,3,1,0,11,3,1126,133,Lpp_dotA,0.412292,0.328537,129.282,209.747,8,12.1907,1,11,w11_f11_c3,0
56335,5,3,1,1,11,3,1139,143,Lpp_dotA,0.394107,0.422486,122.304,321.573,8,11.2476,1,11,w11_f11_c3,0
58320,5,3,1,2,11,3,1139,154,Lpp_dotA,0.402041,0.418066,122.676,340.525,11,13.195,1,11,w11_f11_c3,0
58534,5,3,1,3,11,3,1120,130,Lpp_dotA,0.358631,0.485259,123.234,329.59,6,12.1208,1,11,w11_f11_c3,0
58753,5,3,1,4,11,3,1140,132,Lpp_dotA,0.353194,0.525275,124.297,340.501,14,12.5225,1,11,w11_f11_c3,0
58980,5,3,1,5,11,3,1115,123,Lpp_dotA,0.397279,0.355812,126.841,341.048,6,10.0163,1,11,w11_f11_c3,0
59206,5,3,1,6,11,3,1104,125,Lpp_dotA,0.381766,0.444618,128.198,342.402,6,12.2693,1,11,w11_f11_c3,0
59431,5,3,1,7,11,3,1119,132,Lpp_dotA,0.368633,0.514667,130.582,342.883,10,9.68445,1,11,w11_f11_c3,0
59656,5,3,1,8,11,3,1125,136,Lpp_dotA,0.385488,0.410493,131.814,354.411,10,9.38754,1,11,w11_f11_c3,0
59885,5,3,1,9,11,3,1143,144,Lpp_dotA,0.394022,0.375109,133.826,364.21,9,15.1249,1,11,w11_f11_c3,0
56337,5,3,1,1,11,5,800,117,Lpp_dotA,0.36232,0.490365,120.898,539.585,6,4.80293,1,11,w11_f11_c5,0
58322,5,3,1,2,11,5,737,87,Lpp_dotA,0.355086,0.428276,119.713,707.453,4,7.19566,1,11,w11_f11_c5,0
58536,5,3,1,3,11,5,692,74,Lpp_dotA,0.301987,0.481418,119.794,858.411,7,12.7059,1,11,w11_f11_c5,0
58755,5,3,1,4,11,5,724,59,Lpp_dotA,0.352768,0.499267,134.132,1031.93,3,6.18268,1,11,w11_f11_c5,0
58982,5,3,1,5,11,5,684,37,Lpp_dotA,0.289699,0.503601,116.977,980.731,0,0.0,0,11,w11_f11_c5,0
59208,5,3,1,6,11,5,690,40,Lpp_dotA,0.389254,0.376053,119.309,1100.73,1,2.24428,1,11,w11_f11_c5,0
59433,5,3,1,7,11,5,655,26,Lpp_dotA,0.416068,0.373078,118.827,1330.96,2,2.4364,1,11,w11_f11_c5,0
59657,5,3,1,8,11,5,684,43,Lpp_dotA,0.378054,0.313073,120.734,1382.97,5,4.02573,1,11,w11_f11_c5,0
59886,5,3,1,9,11,5,670,25,Lpp_dotA,0.314465,0.388555,118.164,1187.22,0,0.0,0,11,w11_f11_c5,0
56338,5,3,1,1,11,6,1289,1423,Lpp_dotA,0.428943,0.219179,128.161,262.77,11,17.8232,1,11,w11_f11_c6,0
58323,5,3,1,2,11,6,1298,1403,Lpp_dotA,0.414808,0.278619,129.831,355.778,18,29.0796,1,11,w11_f11_c6,0
58537,5,3,1,3,11,6,1213,1385,Lpp_dotA,0.398092,0.282945,128.985,344.649,17,29.3241,1,11,w11_f11_c6,0
58756,5,3,1,4,11,6,1366,1347,Lpp_dotA,0.399735,0.275824,129.387,374.882,14,28.7041,1,11,w11_f11_c6,0
58983,5,3,1,5,11,6,1322,1326,Lpp_dotA,0.392494,0.290659,133.073,463.813,12,24.067,1,11,w11_f11_c6,0
59209,5,3,1,6,11,6,1316,1335,Lpp_dotA,0.394586,0.279182,133.637,520.95,12,30.1711,1,11,w11_f11_c6,0
59434,5,3,1,7,11,6,1238,1378,Lpp_dotA,0.395964,0.266812,132.468,459.804,12,25.2459,1,11,w11_f11_c6,0
59658,5,3,1,8,11,6,1324,1324,Lpp_dotA,0.393243,0.269127,133.457,527.602,10,21.9974,1,11,w11_f11_c6,0
59887,5,3,1,9,11,6,1318,1341,Lpp_dotA,0.405047,0.264221,134.233,586.679,18,24.1107,1,11,w11_f11_c6,0
56543,5,3,1,10,11,6,1310,1238,Lpp_dotA,0.414954,0.23661,134.908,605.07,14,25.5254,1,11,w11_f11_c6,0
56755,5,3,1,11,11,6,1338,1207,Lpp_dotA,0.434581,0.20851,134.434,,17,29.4201,1,11,w11_f11_c6,0
56975,5,3,1,12,11,6,1358,1200,Lpp_dotA,0.469991,0.144209,134.257,,20,31.4636,1,11,w11_f11_c6,0
57195,5,3,1,13,11,6,1329,1214,Lpp_dotA,0.470982,0.153537,136.327,,15,27.4902,1,11,w11_f11_c6,0
57414,5,3,1,14,11,6,1326,1212,Lpp_dotA,0.463279,0.161592,135.988,,14,28.7565,1,11,w11_f11_c6,0
57636,5,3,1,15,11,6,1271,1235,Lpp_dotA,0.449667,0.168701,138.435,494.189,17,25.604,1,11,w11_f11_c6,0
59436,5,3,1,7,11,9,108,386,Lpp_dotA,0.503236,0.121085,110.181,,0,0.0,0,11,w11_f11_c9,0
59660,5,3,1,8,11,9,126,391,Lpp_dotA,0.518222,0.0729386,110.809,247.692,0,0.0,0,11,w11_f11_c9,0
59889,5,3,1,9,11,9,129,351,Lpp_dotA,0.461005,0.15545,115.22,213.095,7,8.91598,1,11,w11_f11_c9,0
56544,5,3,1,10,11,9,149,249,Lpp_dotA,0.513892,0.0530473,110.872,,1,1.46708,1,11,w11_f11_c9,0
56756,5,3,1,11,11,9,236,201,Lpp_dotA,0.511628,0.0561683,111.442,,1,0.209582,1,11,w11_f11_c9,0
56976,5,3,1,12,11,9,220,233,Lpp_dotA,0.514121,0.0508504,111.241,,0,0.0,0,11,w11_f11_c9,0
57196,5,3,1,13,11,9,197,255,Lpp_dotA,0.512999,0.062448,111.393,,2,1.5282,1,11,w11_f11_c9,0
57415,5,3,1,14,11,9,102,200,Lpp_dotA,0.512143,0.0461448,110.234,,3,0.139722,1,11,w11_f11_c9,0
57637,5,3,1,15,11,9,141,232,Lpp_dotA,0.513985,0.0682651,111.13,244.39,0,0.0,0,11,w11_f11_c9,0
56208,5,3,1,0,12,1,1374,137,Lpp_dotA,0.435886,0.268189,128.529,227.955,2,2.75077,1,11,w11_f12_c1,0
56339,5,3,1,1,12,1,1157,173,Lpp_dotA,0.394491,0.404998,121.784,279.06,4,8.45316,1,11,w11_f12_c1,0
58324,5,3,1,2,12,1,1214,118,Lpp_dotA,0.36226,0.581266,122.732,309.166,8,16.2863,1,11,w11_f12_c1,0
58540,5,3,1,3,12,1,1330,185,Lpp_dotA,0.389699,0.528696,122.558,422.379,10,13.5006,1,11,w11_f12_c1,0
58758,5,3,1,4,12,1,1340,168,Lpp_dotA,0.40225,0.423386,122.624,427.22,8,15.6837,1,11,w11_f12_c1,0
58985,5,3,1,5,12,1,1325,202,Lpp_dotA,0.416828,0.314717,122.201,476.983,9,11.0467,1,11,w11_f12_c1,0
59211,5,3,1,6,12,1,1285,166,Lpp_dotA,0.381357,0.538002,122.697,535.286,13,21.3949,1,11,w11_f12_c1,0
59437,5,3,1,7,12,1,1353,209,Lpp_dotA,0.411405,0.308852,122.486,531.257,9,21.2988,1,11,w11_f12_c1,0
59661,5,3,1,8,12,1,1295,220,Lpp_dotA,0.417482,0.302817,123.144,493.441,12,22.3904,1,11,w11_f12_c1,0
59890,5,3,1,9,12,1,1289,228,Lpp_dotA,0.430853,0.26056,124.904,518.826,10,21.9712,1,11,w11_f12_c1,0
56545,5,3,1,10,12,1,1288,137,Lpp_dotA,0.431592,0.234301,123.638,514.075,9,15.8322,1,11,w11_f12_c1,0
56757,5,3,1,11,12,1,1323,87,Lpp_dotA,0.435169,0.225662,121.947,500.479,7,7.29172,1,11,w11_f12_c1,0
56977,5,3,1,12,12,1,1314,85,Lpp_dotA,0.431434,0.262669,122.178,492.285,7,9.4836,1,11,w11_f12_c1,0
57197,5,3,1,13,12,1,1276,90,Lpp_dotA,0.441221,0.221812,121.461,531.621,6,7.5537,1,11,w11_f12_c1,0
57416,5,3,1,14,12,1,1261,94,Lpp_dotA,0.455803,0.160334,121.442,535.68,4,5.29196,1,11,w11_f12_c1,0
57638,5,3,1,15,12,1,1272,76,Lpp_dotA,0.471697,0.124474,120.992,526.211,6,5.49281,1,11,w11_f12_c1,0
57866,5,3,1,16,12,1,1298,74,Lpp_dotA,0.481493,0.0936895,122.054,523.552,4,0.244513,1,11,w11_f12_c1,0
58094,5,3,1,17,12,1,1285,70,Lpp_dotA,0.430602,0.198899,122.264,544.274,2,2.17442,1,11,w11_f12_c1,0
56340,5,3,1,1,12,10,767,1180,Lpp_dotA,0.368851,0.346863,121.841,255.389,3,4.52349,1,11,w11_f12_c10,0
58325,5,3,1,2,12,10,772,1199,Lpp_dotA,0.350269,0.392536,122.845,268.68,7,8.99458,1,11,w11_f12_c10,0
58541,5,3,1,3,12,10,788,1169,Lpp_dotA,0.381934,0.320994,122.065,280.295,4,7.20439,1,11,w11_f12_c10,0
58759,5,3,1,4,12,10,698,1141,Lpp_dotA,0.400161,0.275497,121.764,276.084,4,8.86359,1,11,w11_f12_c10,0
58986,5,3,1,5,12,10,696,1089,Lpp_dotA,0.405029,0.254298,121.752,274.497,5,6.81143,1,11,w11_f12_c10,0
59212,5,3,1,6,12,10,708,1168,Lpp_dotA,0.422787,0.228241,121.904,264.306,3,7.28299,1,11,w11_f12_c10,0
59438,5,3,1,7,12,10,746,1127,Lpp_dotA,0.430379,0.237412,122.427,261.998,7,2.87303,1,11,w11_f12_c10,0
59662,5,3,1,8,12,10,761,1146,Lpp_dotA,0.400952,0.289162,123.337,273.69,5,5.22209,1,11,w11_f12_c10,0
59891,5,3,1,9,12,10,760,1107,Lpp_dotA,0.395631,0.321607,122.945,278.655,4,3.9908,1,11,w11_f12_c10,0
56546,5,3,1,10,12,10,731,951,Lpp_dotA,0.414405,0.314387,122.507,286.315,6,3.55417,1,11,w11_f12_c10,0
56758,5,3,1,11,12,10,745,916,Lpp_dotA,0.395461,0.365661,122.232,273.674,10,2.55865,1,11,w11_f12_c10,0
56978,5,3,1,12,12,10,733,889,Lpp_dotA,0.390055,0.333775,122.97,272.992,7,7.43144,1,11,w11_f12_c10,0
57198,5,3,1,13,12,10,698,910,Lpp_dotA,0.427417,0.288065,122.211,248.137,6,5.1173,1,11,w11_f12_c10,0
57417,5,3,1,14,12,10,675,889,Lpp_dotA,0.436406,0.252426,121.342,244.279,3,2.95162,1,11,w11_f12_c10,0
57639,5,3,1,15,12,10,632,853,Lpp_dotA,0.452224,0.241896,121.58,248.434,2,3.65896,1,11,w11_f12_c10,0
57867,5,3,1,16,12,10,603,831,Lpp_dotA,0.464735,0.206406,120.949,253.676,2,1.39722,1,11,w11_f12_c10,0
58095,5,3,1,17,12,10,632,858,Lpp_dotA,0.466689,0.178365,121.832,283.258,6,6.18268,1,11,w11_f12_c10,0
56341,5,3,1,1,12,11,1799,1471,Lpp_dotA,0.341152,0.495887,123.529,234.541,3,6.58438,1,11,w11_f12_c11,0
58326,5,3,1,2,12,11,1754,1448,Lpp_dotA,0.352637,0.44589,126.836,276.145,7,12.2431,1,11,w11_f12_c11,0
58542,5,3,1,3,12,11,1752,1449,Lpp_dotA,0.353094,0.43138,130.7,286.71,8,13.5093,1,11,w11_f12_c11,0
