,t,bact,mito_frag,mito_pot,annexin,hoechst,leg_n,leg_area,infected,cell_lbl,well_id,growth
40980,14,Lpp dotA,0.407288,0.264383,1.0707028180835745,970.481,6.0,1.13524,1.0,w10_f10_c4,,0
40981,15,Lpp dotA,0.4119649999999999,0.238688,1.0837273036874555,1006.55,4.0,3.72882,1.0,w10_f10_c4,,0
40982,16,Lpp dotA,0.413726,0.2388539999999999,1.0905010015740937,1089.78,3.0,5.1697,1.0,w10_f10_c4,,0
40983,17,Lpp dotA,0.412603,0.259557,1.0835744530225548,1108.57,3.0,2.4102,1.0,w10_f10_c4,,0
40984,0,Lpp dotA,0.282813,0.675233,0.9933566215457552,297.541,3.0,2.53245,1.0,w10_f10_c5,,0
40985,1,Lpp dotA,0.316596,0.537902,1.0053490112906245,461.251,4.0,7.370310000000001,1.0,w10_f10_c5,,0
40986,2,Lpp dotA,0.334516,0.478959,1.0012943671636205,481.347,10.0,16.2863,1.0,w10_f10_c5,,0
40987,3,Lpp dotA,0.376073,0.348573,1.0052476451874492,555.304,9.0,19.2379,1.0,w10_f10_c5,,0
40988,4,Lpp dotA,0.357757,0.365554,1.0072749672509513,499.84,9.0,26.7654,1.0,w10_f10_c5,,0
40989,5,Lpp dotA,0.367272,0.400479,1.0158754912357308,670.5360000000001,10.0,17.5525,1.0,w10_f10_c5,,0
40990,6,Lpp dotA,0.3673889999999999,0.375927,1.0185110099182835,635.225,10.0,24.1456,1.0,w10_f10_c5,,0
40991,7,Lpp dotA,0.374096,0.372151,1.0170139105483127,630.241,10.0,21.98,1.0,w10_f10_c5,,0
40992,8,Lpp dotA,0.373226,0.392524,1.0185889838438027,643.663,8.0,20.3644,1.0,w10_f10_c5,,0
40993,9,Lpp dotA,0.394987,0.315877,1.0227449940739817,678.778,11.0,22.4515,1.0,w10_f10_c5,,0
40994,10,Lpp dotA,0.385761,0.321289,1.0174037801759093,529.253,11.0,25.0014,1.0,w10_f10_c5,,0
40995,11,Lpp dotA,0.400001,0.309055,1.0226826149335664,710.091,9.0,22.0149,1.0,w10_f10_c5,,0
40996,12,Lpp dotA,0.3979999999999999,0.302501,1.0278055018401846,641.099,11.0,24.6871,1.0,w10_f10_c5,,0
40997,13,Lpp dotA,0.397352,0.309656,1.0215130060507767,731.872,11.0,21.8926,1.0,w10_f10_c5,,0
40998,14,Lpp dotA,0.393517,0.315839,1.0224642879421122,718.7260000000001,10.0,23.0366,1.0,w10_f10_c5,,0
