Database Name	Opera_Phenix_1
Database Link	http://157.99.122.161/ODA/OdaService.asmx
Evaluation Signature	e740a9c8-6ba9-4899-a4ca-d0a2745e5893
Plate Name	EP149
Measurement	Measurement 1
Evaluation	Evaluation10
Population	Population - Tracked Real_Nuclei

[Data]
Row	Column	Plane	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Bacteria	Tracked Real_Nuclei - Age [s]	Tracked Real_Nuclei - Current Displacement X [µm]	Tracked Real_Nuclei - Current Displacement Y [µm]	Tracked Real_Nuclei - Track Point X	Tracked Real_Nuclei - Track Point Y	Tracked Real_Nuclei - Current Speed [µm/s]	
4	5	1	3	1	2	623	79	[571,21,683,187]	-42.77	489.36	Lpp WT	10800.8	-6.16759	-1.68207	622	99	0.000316344	
4	5	1	3	1	3	228	86	[168,1,275,144]	-80.18	492.05	Lpp WT	10800.8	-3.73794	-9.81208	221	70	0.00208219	
4	5	1	3	1	4	933	370	[783,172,1082,550]	-14.15	462.8	Lpp WT	10800.8	-3.83138	-2.8969	928	383	0.00016878	
4	5	1	3	1	5	1485	1151	[1387,1003,1580,1262]	38.22	392.4	Lpp WT	10800.8	-2.71	3.36414	1488	1137	0.0006094	
4	5	1	3	1	6	253	1135	[1,883,506,1402]	-79.96	392.59	Lpp WT	10800.8	0.280345	-7.00863	224	1135	0.000168912	
4	5	1	3	1	7	745	1021	[656,910,818,1151]	-31.92	403.02	Lpp WT	10800.8	-3.45759	-10.84	738	1023	0.000556302	
4	5	1	3	1	8	1502	1546	[1392,1458,1624,1669]	40.09	352.14	Lpp WT	10800.8	-5.04621	-1.96242	1508	1567	0.000134475	
4	5	1	3	1	9	1053	1643	[874,1458,1246,1821]	-2.69	345.59	Lpp WT	10800.8	1.12138	1.96242	1051	1638	0.00156136	
4	5	1	3	1	10	195	1652	[126,1584,324,1781]	-79.88	342.22	Lpp WT	10800.8	-5.13966	-11.1204	225	1674	0.000441962	
4	5	1	3	1	12	2063	709	[1928,538,2158,828]	91.91	434.2	Lpp WT	7201.41	-2.14931	-1.21483	2063	689	0.000505648	
4	5	1	3	1	13	886	1536	[739,1425,973,1632]	-19.66	355.13	Lpp WT	7201.41	-1.12138	-1.12138	869	1535	0.000630132	
4	5	1	3	1	14	416	1994	[257,1883,616,2107]	-61.46	312.87	Lpp WT	7201.41	6.35449	-2.61655	422	1988	0.00161642	
4	5	1	3	1	15	1061	800	[934,641,1257,932]	-0.58	424.53	Lpp WT	3599.86	1.68207	2.8969	1073	793	0.000810311	
4	5	1	3	1	16	560	28	[523,1,617,56]	-47.68	496.23	Lpp WT	0	0	0	569	26	NaN	
4	5	1	4	1	2	619	90	[555,17,702,166]	-42.67	490.32	Lpp WT	14399.2	-6.07414	-2.61655	623	89	0.000600968	
4	5	1	4	1	3	199	121	[71,1,352,316]	-82.4	484.66	Lpp WT	14399.2	-5.88725	-2.42966	198	149	0.00111993	
4	5	1	4	1	4	928	381	[789,173,1086,545]	-13.98	462.37	Lpp WT	14399.2	-3.64449	-2.42966	930	388	0.000134801	
4	5	1	4	1	5	1476	1128	[1321,1001,1599,1231]	37.68	394.17	Lpp WT	14399.2	-3.17724	1.58862	1483	1118	0.000545264	
4	5	1	4	1	6	234	1121	[1,887,502,1404]	-79.8	392.25	Lpp WT	14399.2	0.373794	-6.72828	225	1138	0.00012812	
4	5	1	4	1	7	725	1025	[654,926,797,1099]	-33.09	402.87	Lpp WT	14399.2	-4.67242	-10.6531	725	1025	0.000448514	
4	5	1	4	1	8	1511	1563	[1390,1437,1620,1680]	40.16	352.32	Lpp WT	14399.2	-4.95276	-2.05586	1509	1566	7.18752E-05	
4	5	1	4	1	9	1065	1599	[864,1454,1226,1772]	-3.39	347.93	Lpp WT	14399.2	0.373794	-0.373794	1043	1613	0.00128336	
4	5	1	4	1	10	207	1689	[97,1582,305,1792]	-82.08	341.08	Lpp WT	14399.2	-7.38242	-9.99898	201	1686	0.000628496	
4	5	1	4	1	12	2063	714	[1950,543,2158,840]	92.9	433.64	Lpp WT	10799.8	-1.12138	-0.654139	2074	695	0.000241596	
4	5	1	4	1	13	851	1505	[733,1409,929,1695]	-21.45	353.75	Lpp WT	10799.8	-2.8969	0.280345	850	1550	0.000628655	
4	5	1	4	1	14	455	1966	[361,1852,613,2077]	-55.41	315.72	Lpp WT	10799.8	12.4286	-5.51345	487	1957	0.00106839	
4	5	1	4	1	15	1039	776	[912,638,1210,947]	-2.97	425.33	Lpp WT	7198.25	-0.654139	2.05586	1048	784	0.000565935	
4	5	1	5	1	2	659	137	[430,1,816,273]	-41.26	487.24	Lpp WT	18000.1	-4.67242	0.467242	638	122	0.000496459	
4	5	1	5	1	3	204	124	[70,1,354,326]	-82.4	484.34	Lpp WT	18000.1	-5.88725	-2.05586	198	153	8.09417E-05	
4	5	1	5	1	4	919	410	[788,218,1129,545]	-14.24	461.99	Lpp WT	18000.1	-3.92483	-2.05586	927	392	0.000285933	
4	5	1	5	1	5	1475	1115	[1312,927,1657,1348]	38.08	392.09	Lpp WT	18000.1	-2.80345	3.64449	1487	1140	0.00036013	
4	5	1	5	1	6	245	1126	[1,881,490,1430]	-80.38	391.97	Lpp WT	18000.1	-0.186897	-6.44794	219	1141	0.000113029	
4	5	1	5	1	7	727	1022	[571,872,830,1211]	-34.68	401.64	Lpp WT	18000.1	-6.26104	-9.43829	708	1038	0.000413287	
4	5	1	5	1	8	1515	1559	[1393,1440,1625,1679]	40.48	352.21	Lpp WT	18000.1	-4.57897	-1.96242	1513	1567	0.000316013	
4	5	1	5	1	9	950	1566	[736,1376,1237,1758]	-8.72	352.13	Lpp WT	18000.1	-4.95276	-4.57897	986	1568	0.0010906	
4	5	1	5	1	10	203	1704	[93,1595,330,1831]	-81.66	339.12	Lpp WT	18000.1	-6.91518	-8.03656	206	1707	0.00061791	
4	5	1	5	1	12	2061	711	[1926,542,2158,849]	92.34	433.61	Lpp WT	14400.8	-1.68207	-0.56069	2068	696	9.73078E-05	
4	5	1	5	1	14	478	1950	[323,1834,609,2061]	-55.85	316.58	Lpp WT	14400.8	11.9614	-6.35449	482	1948	0.00126762	
4	5	1	5	1	15	1035	773	[865,632,1207,950]	-4.49	425.4	Lpp WT	10799.2	-2.24276	1.96242	1031	783	0.000738268	
4	5	1	6	1	2	655	137	[429,1,816,273]	-41.28	487.37	Lpp WT	21598.8	-4.67242	0.280345	638	120	0.000202436	
4	5	1	6	1	3	204	123	[72,1,354,316]	-82.33	484.55	Lpp WT	21598.8	-5.7938	-2.24276	199	151	7.00459E-05	
4	5	1	6	1	4	934	366	[790,168,1075,538]	-14.13	463.55	Lpp WT	21598.8	-3.83138	-3.64449	928	375	0.000315426	
4	5	1	6	1	5	1479	1107	[1296,916,1665,1361]	38.25	391.66	Lpp WT	21598.8	-2.61655	4.11173	1489	1145	0.000251531	
4	5	1	6	1	6	238	1118	[1,878,485,1443]	-80.61	391.95	Lpp WT	21598.8	-0.373794	-6.44794	217	1141	0.000104877	
4	5	1	6	1	7	721	1032	[503,821,928,1273]	-35.01	400.67	Lpp WT	21598.8	-6.54139	-8.5038	705	1048	0.000188967	
4	5	1	6	1	8	1513	1586	[1426,1491,1600,1676]	40.78	350.3	Lpp WT	21598.8	-4.29863	-0.0934484	1516	1587	0.000525157	
4	5	1	6	1	9	974	1561	[731,1352,1247,1764]	-7.86	352.77	Lpp WT	21598.8	-4.11173	-5.23311	995	1561	0.000287693	
4	5	1	6	1	10	164	1695	[65,1590,292,1837]	-84.04	338.97	Lpp WT	21598.8	-9.34484	-7.94311	180	1708	0.000460707	
4	5	1	6	1	12	2063	666	[1926,549,2158,847]	92.45	433.62	Lpp WT	17999.4	-1.58862	-0.654139	2069	695	9.72766E-05	
4	5	1	6	1	14	385	2009	[251,1879,552,2114]	-62.63	312.12	Lpp WT	17999.4	5.13966	-1.86897	409	1996	0.00200916	
4	5	1	6	1	15	1012	799	[891,671,1220,991]	-3.45	421.94	Lpp WT	14397.9	-1.12138	5.51345	1043	821	0.00159434	
4	5	1	7	1	2	654	132	[488,1,815,264]	-40.03	487.74	Lpp WT	25202	-3.45759	-0.0934484	651	116	0.000249842	
4	5	1	7	1	3	204	143	[71,1,356,319]	-82.16	484.79	Lpp WT	25202	-5.70035	-2.52311	200	148	8.78005E-05	
4	5	1	7	1	4	940	355	[778,157,1086,531]	-13.96	464.2	Lpp WT	25202	-3.64449	-4.29863	930	368	0.000263597	
