Database Name	Opera_Phenix_1
Database Location	http://157.99.122.161/ODA/OdaService.asmx
Evaluation Signature	542866a6-6db8-4296-aaba-f38b4574b780
Plate Name	EP128-TMRM
Measurement	Measurement 1
Evaluation	Evaluation10

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Bacteria - Number of Objects	Bacteria - Bacteria Area [µm²] - Mean per Well	Tracked Cells - Number of Objects	Tracked Cells - Bacteria Area [µm²]- Sum per Cell  - Mean per Well	Tracked Cells - IF - Mean per Well	Tracked Cells - NI - Mean per Well	Tracked Cells - Intensity Tracked cell region dsRed Mean - Mean per Well	Tracked Cells - Intensity Tracked cell region dsRed StdDev - Mean per Well	Tracked Cells - red sdmean - Mean per Well	% IF cells	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	CO2	Target CO2	Compound	Bacteria	
6	10	1	-4	153	851	0.777235380505	77	8.58996504948	0.818181818182	0.181818181818	222.87621129	169.195544401	0.6843124198	81.8181818182	4	0	-1288.98	0	37	0	5	FCCP	Lpp WT	
6	11	1	-4	0	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4	0	-1288.59	0	37	0	5			
7	3	1	-4	93	590	0.953705843786	52	10.8208932276	0.865384615385	0.134615384615	210.65136686	140.75712661	0.57752075307	86.5384615385	4	0	-1286.796	0	37	0	5	NT	Lpp WT	
7	4	1	-4	129	581	1.02432121061	87	6.84058187772	0.850574712644	0.149425287356	241.544383843	192.423318778	0.718521497334	85.0574712644	4	0	-1287.327	0	37	0	5	Oligomycin	Lpp WT	
7	5	1	-4	115	531	0.991176424409	67	7.85544300539	0.850746268657	0.149253731343	223.92682966	170.300722181	0.654144747211	85.0746268657	4	0	-1287.017	0	37	0	5	DCCD	Lpp WT	
7	6	1	-4	188	708	0.892384956899	121	5.2215582602	0.702479338843	0.297520661157	226.787915697	171.492932727	0.692140169515	70.2479338843	4	0	-1287.466	0	37	0	5	Rotenone	Lpp WT	
7	7	1	-4	159	676	0.811840672398	93	5.90112144667	0.806451612903	0.193548387097	234.989880067	184.430721516	0.705972920735	80.6451612903	4	0	-1287.637	0	37	0	5	TTFA	Lpp WT	
7	8	1	-4	129	617	0.936540882074	74	7.80872600324	0.783783783784	0.216216216216	230.701554022	169.996620531	0.655950178331	78.3783783784	4	0	-1287.606	0	37	0	5	Antimycin A	Lpp WT	
7	9	1	-4	126	742	1.02519274245	87	8.74359787242	0.793103448276	0.206896551724	224.00695422	161.263223995	0.655367671255	79.3103448276	4	0	-1287.983	0	37	0	5	NaCN	Lpp WT	
7	10	1	-4	86	356	0.91710295289	43	7.5927593309	0.790697674419	0.209302325581	204.860983401	146.63118072	0.626995712318	79.0697674419	4	0	-1288.95	0	37	0	5	FCCP	Lpp WT	
7	11	1	-4	0	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4	0	-1288.793	0	37	0	5			
8	3	1	-4	97	667	0.93959340997	59	10.6221831263	0.864406779661	0.135593220339	223.404589243	165.999968277	0.650972894188	86.4406779661	4	0	-1286.767	0	37	0	5	NT	Lpp WT	
8	4	1	-4	137	651	0.839832805432	89	6.14304670041	0.831460674157	0.168539325843	223.821904896	171.787765457	0.684747650515	83.1460674157	4	0	-1287.267	0	37	0	5	Oligomycin	Lpp WT	
8	5	1	-4	154	744	0.896234171801	92	7.24780678065	0.869565217391	0.130434782609	225.270574994	169.978605228	0.643832124009	86.9565217391	4	0	-1287.157	0	37	0	5	DCCD	Lpp WT	
8	6	1	-4	102	520	1.01384263584	60	8.7866361773	0.833333333333	0.166666666667	205.127503995	139.453153901	0.595904266264	83.3333333333	4	0	-1287.5439999999999	0	37	0	5	Rotenone	Lpp WT	
8	7	1	-4	95	521	0.920023601049	65	7.37434301764	0.769230769231	0.230769230769	225.23207498	165.766441799	0.6588337842	76.9230769231	4	0	-1287.437	0	37	0	5	TTFA	Lpp WT	
8	8	1	-4	102	666	0.867229060456	68	8.49374344505	0.897058823529	0.102941176471	220.087766743	169.322362992	0.687702171186	89.7058823529	4	0	-1287.6399999999999	0	37	0	5	Antimycin A	Lpp WT	
